,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
2,31.73994315,63.69861216,5.183821411,3487.9347829999997,109.0477949,356.19323219999984,91.95691569,4.650112222,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
4,9.107328945,5.182564268,1.3808843990000002,2014.7545699999998,109.8173937,138.7484348,80.15112326,3.714679955,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
9,9.739341438,15.76038499,2.2971850590000003,704.9878614,109.88884740000002,248.25133540000002,101.0659515,-1.095930753,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
10,17.87604906,31.35925315,3.45097229,1716.9658510000006,109.5543987,318.32910560000005,97.76246277,9.610657587,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
11,20.39291728,40.14805666,4.191856079,2791.769901,109.8948518,348.1285318,98.71430673,-5.195389521,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
12,19.34106993,37.640195899999995,3.92395874,1737.534623,108.4452158,354.4099486,98.11992264,9.326127035,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
15,22.49174374,42.44937113,4.1650360110000015,3495.187075,109.6480435,349.5389333,92.43806538,8.031455047,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
19,16.9152715,33.52189786,3.757544556,1277.095362,108.00429540000002,376.14111569999994,103.952748,-10.70939254,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
23,23.02034164,37.81571187,3.51515564,1174.79698,109.2383078,251.04111269999999,78.8778368,-6.998171863,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
24,20.48518336,36.67545689,3.6872723389999997,1796.129718,109.9414611,310.0754904,93.05537569,2.8485858669999997,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
25,16.07317119,26.32507867,3.036264648,2259.8782300000007,109.2323227,283.0864898,88.69053341,-9.773293503,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
26,7.360868063,14.17080316,2.416109009,2337.853306,109.61431340000001,268.3234761,105.4046578,8.904786087,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
27,27.55896236,49.36079194,4.028441772,2855.181501,109.5975578,263.5169254,80.97377702,-9.262914389,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
29,15.33788755,30.36981511,3.906481323,2225.2088559999997,109.539621,371.48297599999995,104.9493923,1.9175091830000002,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
31,8.226691133,7.917825016,1.6296307369999998,2279.027954,108.9318649,133.364887,82.91356295,9.868392238,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
34,13.88789349,18.18671448,2.325648193,1962.022641,109.65316729999999,218.36663240000001,81.67224904,3.6184862069999997,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
36,23.98856925,44.45023187,4.299453735,3317.831904,109.1712994,336.680658,91.26011078,2.3038785859999997,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
37,17.72624003,33.30590569,3.533434448,1403.8386050000001,109.7635053,328.5145999,96.56422111,-2.111289205,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
39,18.23228021,21.37033851,2.584644165,2478.240824,109.6627502,193.79426519999998,68.07231104,-4.507257325,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
41,22.88317649,40.37469099,3.935228882,2159.432098,109.9948893,336.0132468000001,91.20681738,-2.786971276,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
43,17.53438272,32.43864343,3.552911987,1843.3491329999997,109.5034533,340.6587097000001,98.9538578,-3.773124604,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
44,25.56324193,48.4304701,4.433915405,2670.088189,108.51574129999999,327.05670319999996,85.58685247,-7.6764079060000014,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
48,5.650908562000001,1.5047492530000002,0.92644165,680.4182482000001,109.90374440000001,119.01693629999998,97.54231754,2.400350207,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
51,45.5972271,113.0545324,6.075706177000001,3260.154396,109.0732748,125.927529,94.31624846,-7.7606716979999995,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
53,16.02801134,20.11615111,2.329989014,1036.419962,107.9746278,216.88460209999997,82.32690903,9.345934852000001,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
56,32.33066897,66.04936368,5.397094116,2389.572839,108.4279883,151.1321635,97.36856351,-6.595244429,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
71,5.637445208,3.020207982,1.077258911,1060.34356,109.67703159999999,128.6467055,96.43507501,4.668074834,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
76,32.334747899999996,64.34677333,4.933490601,1476.446544,109.8412361,328.2263197,88.99139090000001,7.252973972,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
79,23.249346399999997,44.07958193,4.531522827,1645.2273699999994,108.923295,400.06460130000005,105.34154509999999,-7.906117637,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
82,22.23524194,39.80647469,4.0886145019999995,1690.946721,109.339377,374.2112333,103.76816140000001,-4.513670981000001,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
85,20.04677322,34.90706478,3.6507159419999997,1822.7923329999999,109.99422949999999,324.2912682,101.75027490000001,-2.0314970530000003,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
86,24.56616561,37.20448344,3.3857836910000003,3275.615444,109.2617382,267.9027736,81.17944995,10.9892001,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
90,14.61579954,25.14408746,2.652835693,781.2943785,108.70972040000001,276.08119039999997,99.60291772,-7.631846584,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
91,7.64201557,2.930275714,1.187478638,1899.526709,109.6354215,52.55313087,83.05699636,5.098922207,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
95,25.43124425,49.92464288,4.549830933,3149.922255,109.97986840000002,346.1182378,92.00050889,-1.930336676,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
97,24.62160936,48.66015445,4.792022095,2305.6724280000008,108.0720312,386.4433852,98.99634640000001,9.320336328,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
100,7.633959892999999,8.752386148,1.414920654,864.5629164999997,109.5902213,176.6369466,100.8567016,6.390568049,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
107,12.70227117,17.048981,2.053601074,721.6334304,108.06977409999999,226.46482379999998,98.21738989,11.15291705,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
109,11.76202253,19.42066871,2.494833984,1172.816848,109.2794524,266.9538076,101.2405658,10.46336985,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
112,35.18222143,69.29357055,4.872227173,1685.143623,109.8394138,242.9851113,80.09150964,0.728763457,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
114,7.9149475160000025,12.76739405,2.15050415,1026.500345,109.9527399,241.3499231,102.6908366,-0.728893283,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
115,6.817699644,4.5789397130000005,1.235620117,1060.308112,109.4637932,146.39242959999999,92.87466914,6.3260209970000005,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
116,16.8233773,22.91998296,2.560631104,1398.051956,109.99378259999999,227.1733705,82.97921878,-3.664043225,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
119,22.5581969,43.00050136,4.25402771,1178.322046,108.79037859999998,317.3457238,95.11511514,-9.961679127,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
123,52.17864806,91.89038839,4.918449097,2623.604687,109.9886884,82.25846282,72.94668586,1.365295896,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
