,Unnamed: 0,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult
Unnamed: 0,1.0,0.02775469235727545,-0.02373567307010036,0.024146776069948597,0.27848542026648726,-0.2416180598474397,0.2716104964252826,0.05303158924419353,0.0479942723047546,-0.01760737784797448,0.014382565479781341,0.030382066307702824,-0.0028083471104636396,0.008257476118217125,-0.00043206999931930486,-0.08135785046206136,0.15361347931917094,0.011156874503046796,-0.050894071610584395,0.15511874611927082,-0.15851528798741032,-0.16891244435360792,0.04000068344170563,0.08632455472536406,-0.126274283064521,0.04323500358770005,-0.06369194998268912,-0.009030262171086345,-0.00790462714513351,0.07697410033023815,0.033631098891743386,0.03308607803585432,0.04714615253714233,0.02428334406038878,0.1929774505486054,-0.004858516868144799,0.005164274968749867,0.03215125725567372,0.06038939280343315,0.054180516123149516,0.03494555748098071,0.05443334294280056,0.13298140011180512,0.08171071439877041,0.15775973506811614,,0.15224204205643518,-0.15302032461667736,0.006888141401568556,-0.09182027821322739,0.13705932369941198,0.004252070924384203,0.07857900435106857,0.0007258625005510257
PitchNo,0.02775469235727545,1.0,0.08224727066015641,0.018757272904496955,0.038911297131723005,0.08183246760949808,0.037805242240034495,0.010597522422389165,0.9580696783207676,0.0585852744232391,0.007903746814335207,0.02358968503633631,-0.0003929398787880186,0.015720556283011358,-0.01590332364087926,0.06152610342209534,-0.05734084656910407,-0.0035970747923292604,0.013524237389605315,-0.06191597042813119,0.06554988423903256,0.08019499513466471,-0.04200992244536034,-0.05893358962169715,0.04675405589823795,-5.428825467417061e-06,0.041952416135103025,-0.020393288964009385,-0.013836847114643834,-0.028922985768014362,0.006822189952408998,-0.0321119556180991,-0.024041370820422677,0.015123457549044076,0.011318460422792694,0.010351913257149728,-0.007518563612589642,0.03513825854070697,-0.04317835926452967,-0.0313216947189639,0.014940306406632393,-0.0315785543188499,-0.04930223140681677,-0.05761208501177826,-0.06526165804655946,,-0.0540590003659468,0.054678056149618466,0.01521735804948811,0.06124794699003913,-0.05011035108284861,0.011799137356845051,-0.05054430685863404,-0.008420149335601928
PAofInning,-0.02373567307010036,0.08224727066015641,1.0,-0.00819038493582751,0.020669447174632854,0.007244573607068758,0.0029857081287610835,-0.009257033269610351,-0.005149993908190056,0.6667337563354866,0.00115278135051192,-0.011748085638424346,0.03731073868414498,0.34013913747062174,-0.09285856912202006,0.07795376340954574,0.0037359096210081645,-0.020157263617350388,-0.027104769715647754,-0.03453907283079881,0.008043528162310893,0.03947444356057911,-0.08404549370819281,-0.06904469741952263,-0.013613635026514359,-0.011687751738373497,0.018588608685770974,-0.08953381052846222,-0.06484352505774298,-0.011237623485275506,0.08213332964368711,-0.006283417251517059,-0.009741230943716895,0.00990550434300014,-0.00866890317632955,0.01322431683721725,-0.01098823789225043,0.012025398425052089,-0.0025985413500409058,0.004473587878862332,0.006997840514888926,-0.009532013618362629,0.012596222404886354,-0.0694667408464862,-0.00931478337479942,,-0.021157545012628266,-0.005835789403110481,0.09185520433118156,0.07534817102529102,0.01562637477343814,-0.08045041287474398,-0.06980414949316056,0.020447851928888174
PitchofPA,0.024146776069948597,0.018757272904496955,-0.00819038493582751,1.0,0.021995004318796595,-0.031385432870641286,0.02904148592445827,0.0005672109721875516,-0.0059439768387057855,0.003517850733808052,0.8174928303544813,0.7898991637319506,-0.0030771162522498408,0.013308115313988192,-0.022940585082289144,0.019841531461748167,0.03982866243912284,0.05601086894325731,-0.09414777509164812,-0.007401638895068447,-0.02017379110254302,-0.020563531123957413,-0.029419654285050133,-0.025059195998217064,-0.08536990552110205,-0.016024879717286312,-0.03652567493879375,-0.025787881484715804,-0.02823012726698994,-0.04595277628216915,0.02746775139921574,-0.0002341377927004416,0.02212494786940489,-0.012362533438330388,0.03217967161586038,-0.03858984984487685,0.019663756897780493,0.0062858289402957825,0.009121758378214032,-0.001856146966170398,-0.0025067747792049274,0.018796291218547125,0.08133132743541566,-0.02432119256082221,0.01790700800193886,,-0.00398941584311576,-0.038208532519539866,0.02348717273874028,0.015186408542641302,0.08110519135820866,-0.0027265678646266954,-0.019136369527419428,-0.0016651979525886768
PitcherId,0.27848542026648726,0.038911297131723005,0.020669447174632854,0.021995004318796595,1.0,-0.07493662413846593,0.08478566171677554,0.0312798328059194,0.01130954118227814,-0.008156930340700384,0.03193854559134321,0.00553490733640441,-0.03167070736948428,0.047260242599625336,-0.08472070106950597,-0.0347097137067566,0.08468939954844057,-0.08018517210046076,-0.05485869594233099,0.1045315334123828,-0.06944826057428408,0.010620559773775835,-0.009278937110750295,0.03906151037058359,-0.09345109006061655,0.010353067551306187,-0.01735983035293346,-0.08666857513646477,-0.05101746511061088,0.012161015982811793,0.07563627002251516,0.028617683181258114,0.03684236210776245,0.022727963642734314,0.025702959050726122,-0.0035799822557251696,0.0085283500714647,0.008461072170922046,0.04029619947356786,0.03672364775498227,0.02666341601520604,0.03648413996867593,0.09522587339231034,0.03878169471361086,0.06691148674934178,,0.10886143347439343,-0.0886133305919004,0.08588139334707703,-0.03589986278618234,0.10366204269003829,-0.06864104745370073,0.02831753641072068,0.02929557652608837
PitcherThrows,-0.2416180598474397,0.08183246760949808,0.007244573607068758,-0.031385432870641286,-0.07493662413846593,1.0,-0.0939466923952169,-0.08449748001196325,0.0833338069747065,0.01061100667638952,-0.03411190085402291,-0.02887414121656963,0.012580439248373945,0.007082187063052778,0.16957726925243713,0.006490485330677645,-0.8916446650193233,0.15313598348970117,0.2667192608539198,-0.04768892190628342,0.9131523088480938,0.1392067289567026,0.026777338485869287,-0.08733059930101801,0.6226191868868753,0.017887541199223526,0.17721911217247144,0.17929816365806087,0.046422018535774046,-0.5823867526081155,-0.17981300808609507,-0.02292354293507174,-0.03268276761783004,0.016981860968086914,-0.04682177529510777,-0.023916339933818836,-0.001735094420531092,0.002508883286488997,-0.044421238926977503,-0.051609626899327826,-0.006337549719786698,-0.0363668053394032,-0.671927417341783,-0.07640057414023939,-0.9078660301565439,,-0.046697332381040686,0.8901880312953939,-0.17352114383621806,-0.0012417205141084084,-0.6970269283130841,0.13197642125390927,-0.040231439889089685,-0.014517015741390518
BatterId,0.2716104964252826,0.037805242240034495,0.0029857081287610835,0.02904148592445827,0.08478566171677554,-0.0939466923952169,1.0,-0.119209754467278,0.04058785220494348,0.01653457188184221,0.022966194007054387,0.03014999126927117,-0.009277747858548733,0.020970900496854506,0.0345330874843994,-0.026967223617344365,0.06833567822872412,-0.008446606648674365,-0.007021363566191032,0.022686527009654487,-0.06427539999509325,-0.021628961081054582,0.040054547888754885,0.040303699845144904,-0.041155959034192446,0.03372262490697795,0.016699568460731826,0.034142961516077146,0.040862471983409594,0.05346280984841794,-0.029164229178153495,-0.041452519726389345,-0.02120666937989471,0.04341019907487173,0.047758773191559224,-0.007765691258982073,-0.008906179472736612,0.015705793878509705,-0.012349877243420376,-0.003538064420092245,0.023852339588095826,-0.01094999539609015,0.045726388938821784,0.03833924217597642,0.06301820180557217,,0.018831265628665078,-0.06955861055929294,-0.03279656389304979,-0.025232211606358686,0.050178800844801835,0.016280603560601757,0.038825022811970956,0.00720894626656511
BatterSide,0.05303158924419353,0.010597522422389165,-0.009257033269610351,0.0005672109721875516,0.0312798328059194,-0.08449748001196325,-0.119209754467278,1.0,0.013129524531024313,0.00654127604670566,-0.008155148329090001,0.014744939169966565,-0.005969070568071314,-0.00894921641591975,-0.04710050140630178,0.016653514720006403,0.06316827508286511,0.03247307841309264,-0.15990115282872275,0.045350932137551855,-0.10249814432241773,-0.06659709067182676,-0.03757530104432242,-0.01842374499607389,-0.15182701724165829,0.013891617610593918,-0.30879094501959453,-0.047111493294656095,-0.04378786445730292,-0.0951454197376778,0.05491801846794475,-0.0013814796079770384,0.007651041241622226,-0.2259757065520016,0.051137578185598824,0.012860569529965284,0.03363215043812646,0.030996200874614445,0.013121986629216834,0.00677794808106455,-0.05165801923329555,0.02020753250833587,0.14554482250481807,-0.02003099645594998,0.10768750804957448,,0.05235538106202267,-0.05719289145488679,0.04851540125717804,0.011052489437314898,0.13676499297175623,-0.04002395645181143,-0.01958783363594482,0.0035111259676898912
Inning,0.0479942723047546,0.9580696783207676,-0.005149993908190056,-0.0059439768387057855,0.01130954118227814,0.0833338069747065,0.04058785220494348,0.013129524531024313,1.0,0.011505474642254142,-0.01376013450399067,0.00459550642558929,0.001832226878798459,-0.017431199234122324,0.007913173372669172,0.0476190580938757,-0.06738586833243984,0.011215358121485273,0.024264323911766115,-0.05002177355539369,0.07138898680188048,0.04820168425791368,-0.03125135849926284,-0.054660748238575474,0.05977130583849353,-0.0007658748731177321,0.03967351257156221,0.0019105058346330856,-0.008652288243997067,-0.02789924481183127,-0.009972431224712324,-0.034192402717954484,-0.02296523455506137,0.01698323507237835,0.008039535964624842,0.0026370197818025238,-0.008379497453409442,0.032896504081498225,-0.041692949812738404,-0.02989658739946091,0.015866065924551004,-0.029393152673387237,-0.06260170755023499,-0.053413702323380545,-0.07063447133838537,,-0.04482463552139992,0.06539517482722251,-0.00795563077751126,0.04624842280550279,-0.06417754100979296,0.036200077598616716,-0.0451011353847512,-0.017075689413026816
Outs,-0.01760737784797448,0.0585852744232391,0.6667337563354866,0.003517850733808052,-0.008156930340700384,0.01061100667638952,0.01653457188184221,0.00654127604670566,0.011505474642254142,1.0,0.01646695789625428,-0.0021657161367975067,-0.004417515324501151,0.08486247890128788,-0.025460487137363135,0.04075757086941793,-0.006814111003565345,0.022790388464325042,-0.023170557799570324,-0.017334443819262975,0.0122510093831101,0.032270562716172645,-0.044354603575378994,-0.05038673787179491,-0.00823700235983299,-0.006395667305061477,-0.0025984847754010366,-0.02172963134480011,-0.034919637383084165,-0.020691797562404853,0.022381901850665895,-0.015291389148608552,-0.01723322793124162,-0.00021289437808462983,0.0021813989822645806,0.017969297746862654,-0.014447079734631472,0.005214772966799248,-0.0011231209043238743,0.009098382222228049,0.00018557575232834198,-0.008697140140680853,0.0062817737518714245,-0.04934372807276194,-0.01309311839333996,,-0.010091932589072514,0.00791795052440212,0.024774190557942728,0.03708272809096366,0.0042773282496896626,-0.024994785640883296,-0.042358535153231576,-0.030786990832272834
