,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult,cluster #
1,19,1,3,8886490.0,1,8889924.0,0,1,0,1,1,0,0,91.12500897,-0.49693188,-2.152218382,2200.468438,236.1748216,5.083775543,1.07817949,5.5546332000000005,-25.66884412,8.150857001,12.21149232,2.480116274,0.084186817,83.68631218,-5.273918622,0.126277679,0.418558727,97.49085055,-5.922391283,-20.17872184,,,,,21.66660557,21.44020473,-19.20177278,0.14956481900000002,-7.167703147999999,4.532321302,-0.900392903,50.0,5.024001356,4.549448607,-132.5447327,-2.05788163,-12.63462961,27.07070367,-24.18485038,1,1
2,27,3,5,8886490.0,1,8889923.0,0,1,1,3,1,0,1,89.42225239,-0.94025432,-1.891360506,,253.2130139,4.965453934,1.084129105,5.549674913,-30.90602053,4.2249508360000005,14.11470192,1.510897612,0.492579339,82.32361432,-6.679338969,0.742815102,0.426595822,102.6935971,-1.774046741,0.190045145,,,,,33.65103236,33.11731665,-0.62433201,0.222020874,-8.148385381,2.540020104,-0.92998193,50.0,4.863850182,3.805335254,-130.07264890000002,-3.208802303,-13.7899421,26.14142111,-27.87543864,1,1
4,46,1,3,8889942.0,1,8886492.0,1,2,0,0,2,1,0,86.48592705,-2.110532044,-1.5665178480000002,2090.0617230000007,223.1794838,6.31361684,0.881921871,5.319046452,-25.78246739,12.41556352,11.68432887,2.1830368,0.385317653,78.99299040000002,-6.890812797000001,0.613972229,0.444827887,105.9441968,1.5331787630000002,-36.39754398,3130.124847,,,,85.70989156,80.31288012,-35.94697820000001,0.594855347,-6.663711067,7.210305196,-0.74855983,50.0,6.104357632999999,3.031738723,-125.6328389,-5.523133108,-10.56095248,26.30161959,-20.74682883,0,1
9,80,3,2,8889942.0,1,8881734.0,1,3,0,0,1,0,1,86.70366351,-1.7241910669999998,-2.305939183,2124.769706,226.3536047,6.250541204,0.8384516540000001,5.457647008,-27.73889022,10.11453452,10.6414138,2.323458859,-0.434114864,79.11208876,-6.88559255,-0.315029364,0.442816818,96.67719183,0.637003136,-23.73958202,2216.016483,,,,63.68671558,63.68671558,-21.9447801,0.47048645,-6.38409776,5.9308800160000015,-0.642638303,50.0,6.079939195,4.710888457,-125.9415866,-4.733928802,-10.11899218,26.67562684,-22.77342051,1,1
12,99,1,1,8886490.0,1,8889924.0,0,3,0,0,0,0,0,89.54946733,-1.560966441,-0.979053166,2144.524637,212.7418153,5.413170689,0.744826379,5.575302757,-25.18447839,10.10524537,6.5192071889999985,1.85614915,0.373695257,81.63714972,-6.262454772000001,0.244210826,0.427558601,92.73697077,-24.69485069,-0.334214988,,,,,4.359957895,4.359957895,-4.367928472,0.025021973,-3.843251304,5.970414804,-0.664901455,50.0,5.2626974,2.001054107,-130.1920628,-4.413091007,-6.433360611,28.65666249,-22.17995023,1,1
20,157,8,3,8886472.0,0,8889935.0,1,4,2,0,2,1,0,90.77284756,-2.246742679,2.821136124,2308.806065,142.5122022,5.616419379,-1.498659412,5.765505258999998,-17.31082451,17.38509717,-13.35919339,2.079530718,0.015410129,81.27948772,-5.519583119,0.287397925,0.423946186,100.9956354,-0.996017829,-38.48822184,,,,,41.07104031,41.07104031,-36.44611370000001,0.282745972,8.404180136,10.43818139,1.273342619,50.0,5.420211984,-6.045116586000002,-131.6701112,-5.746551873,14.04039192,33.52841868,-14.73556494,0,1
21,159,1,2,8889947.0,1,8886465.0,0,5,0,1,0,0,0,89.93845168,-2.319941482,-2.096270902,,191.9186166,5.574219165,1.643559774,6.388469582000001,-18.15049083,15.90294147,3.363430519,1.925481385,-0.004910504,81.717072,-5.763202361,-1.455390901,0.420002586,103.7452171,2.120816634,29.45397822,,,,,80.68089029,80.68089029,28.93005362,0.585714111,-2.487238698,9.460323834,-1.494665689,50.0,5.399175495,4.687472481,-130.7808909,-5.8389045,-4.267698633,29.77593378,-15.94166558,1,1
22,178,5,2,8889947.0,1,8881728.0,0,5,2,0,1,1,0,91.48444478,-0.852345937,-3.387553767,2182.352596,196.653077,5.265966845,2.620082719,6.495269935,-20.35030333,12.47295856,3.740166599,2.786385589,-0.181010841,82.963624,-4.7285514410000005,-2.674514973,0.412346571,67.16197564,0.380507863,8.893017389,937.3626497,,,,42.62088796,41.05307969,8.888650545,0.443517456,-3.200922772,7.3808571610000016,-2.384749224,50.0,5.197325017,7.7625175,-132.9971561,-2.5804951000000003,-5.502810968,31.02770159,-19.48537575,0,1
30,226,4,2,8881736.0,0,8889923.0,0,6,1,1,0,0,2,86.90814187,-2.433668308,1.692513684,2015.356484,127.0535205,6.449975104,-1.140849645,6.450429023,-27.12742246,9.174813029,-12.19696156,1.951473945,-0.602072403,79.40812374,-7.565957139,-0.633518932,0.433648854,91.77745099,-7.756621382,41.41773951,,,,,16.32002459,14.89088441,38.43233841,0.107062378,7.279779457,5.82349594,1.026729659,50.0,6.2655954660000015,-3.390628436,-126.422655,-6.142709805,11.61744309,27.32742548,-22.88061693,1,1
33,245,3,3,8889947.0,1,8886462.0,0,7,1,1,1,1,1,90.53642229,-2.588708768,-3.3794250580000003,2045.396742,215.1123963,5.489052892,2.7830593560000003,6.1621798960000005,-21.15957554,13.0562279,9.202911611000001,1.3289546,0.425012111,81.69585838,-6.596875657999999,-1.62846192,0.421002708,98.11801658,-3.470251552,-11.48700118,,,,,18.63863695,15.61524619,-12.32318024,0.128720093,-6.153890212,8.013112417,-2.531654752,50.0,5.281886361000001,7.472993907,-131.3708263,-6.604118474,-10.53905832,31.92704562,-18.4509147,0,1
