,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
1,7.450103232000001,10.53262888,1.755407715,972.1864083999999,100.20290200000001,212.8224869,104.547354,25.00970424,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
20,25.96156807,49.06219642,3.9962286380000003,2432.982813,95.38181111,155.2979795,94.74150452,31.74461948,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
45,17.00010692,35.31771005,4.15840271,2310.479996,102.15916440000001,352.3175682,113.3751955,27.14089479,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
49,20.03536018,24.85834083,2.611721802,2806.816798,96.58079418,192.55542309999998,70.37068171,32.9698518,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
64,33.90126226,66.61694811,4.698671265,3349.619856,95.13195005,131.0190825,84.99758558,30.81568022,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
78,40.70832127,63.41691729,3.7789801030000003,2179.900994,94.61494782,122.73223300000001,70.41989452,33.52888726,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
81,17.03185251,28.04993716,3.0105181880000003,1392.521751,98.84153615,262.9459254,93.43428272,32.77711951,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
87,9.493044969,11.48270137,1.8513739009999999,2885.126744,102.2515323,198.59330659999998,94.93280418,24.95803409,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
92,7.012971317000001,7.277310337,1.547227173,2925.637492000001,101.7602878,174.5059618,95.88422356,24.54612066,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
93,49.92134332,112.2737797,5.405796509,2386.682381,98.12230152,93.50232014,86.37922172,30.40828306,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
101,10.87849133,12.16758971,1.8348150630000002,3357.431282,95.67711019,179.0971491,83.70966211,32.90453115,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
110,29.15101545,62.8045845,5.453440552000001,2796.145122,99.19098538,142.85675680000003,98.679396,29.64600697,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
111,28.46526184,50.84995368,4.311692505,2234.849179,103.2422196,256.7701909,85.4435721,31.88915342,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
120,18.35707464,31.73287769,3.511204834,3429.976043,106.11345049999998,315.932159,99.31557363,23.54514896,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
153,29.48964639,58.40760645,4.197720337,1291.358839,103.1033869,180.6364161,88.65185770000002,28.19116083,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
155,15.51685436,24.67250722,2.7275543210000004,778.9541508,100.0570554,257.60211200000003,96.87833392,30.52416149,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
171,11.03209002,9.364098213,1.7157940669999998,1204.073871,97.39414994,156.5278122,78.2475693,29.00508783,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
178,5.517592927000001,6.4571735189999995,1.439194946,3356.150982,100.7227225,173.9905605,106.2923929,26.56371894,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
192,10.48220528,12.184958400000001,1.5697344969999998,1596.59055,97.68920051,191.67330049999998,103.4738836,30.57630083,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
