,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,PlayResult
3334,282,3,1,1000026629.0,0,8899275.0,1,9,2,0,0,1,0,88.25911009999999,-1.052894595,3.593754717,2298.479908,122.7736129,6.537162525,-3.134356403,4.580923478,-26.88896031,11.58444902,-18.04992731,3.292769498,-1.21548826,78.84661129,-6.0340753220000005,0.24111849,0.446428441,83.15491157,41.28498257,0.937047487,4367.5588990000015,109.7574653,82.75043757,7.297751147,284.013335,279.12266850000003,5.669091197,5.139452515,10.58200796,6.3611859410000005,2.778643616,50.0,6.404289212999999,-7.325089211,-127.7075596,-3.38795957,17.08810191,31.74163009,-21.90183991,0,0,0,1,0,0,0,0
3335,19,4,2,9999670.0,1,8890878.0,1,1,2,0,1,0,1,91.01805413,-2.66047032,-1.924989599,2089.012282,212.224473,6.069506404,1.721474569,6.798787747,-16.54912391,15.97199673,10.08690702,2.259521566,0.8047680229999999,83.26622957,-5.81292266,0.005870406999999999,0.410444338,97.93886435,16.83149281,-28.64840062,1772.652802,93.58910324,27.77107303,-57.80159804,267.7559026,267.7559026,-36.19848287,2.795802002,-6.167539275,9.657147101,-1.6009520680000002,50.0,5.891078306,4.174519329,-132.4747013,-6.6152668420000005,-10.94373643,28.69614434,-15.03832103,1,0,0,0,0,0,0,1
3336,28,1,3,8890877.0,0,8894839.0,0,1,0,1,1,1,0,77.92418414,0.491644345,0.6864346720000001,2113.578852,292.6644432,6.244373635,-1.418043931,5.086298453,-52.34139549,-3.750701402,8.872586327999999,2.345972655,-0.031718388,69.82121795,-9.284324478,2.357571473,0.501704585,87.24232251,31.85159769,-19.47979778,3840.850996,101.5715223,59.80376253,-42.228203,289.7750677,284.9629978000001,-29.38056457,4.625838013,-4.43365076,-2.162825099,1.346517634,50.0,6.2515090120000005,-1.633887524,-113.0136821,-0.68109849,-5.557341127999999,26.50761451,-34.88503269,0,1,0,0,0,0,0,0
3337,33,2,5,8890877.0,0,8894845.0,0,1,1,3,1,0,0,91.79510527,-3.1186815039999995,2.769889804,2276.777997,147.88334019999996,6.2934115560000015,-1.5237550830000002,5.439524927000001,-14.3146024,20.22788745,-12.71751383,2.174328965,0.011808193,81.79958838,-5.812766182000001,0.366627348,0.423007763,90.90855817,5.379300667000001,-38.055891,4245.392422999998,81.50988817,1.197344537,-73.86475318,118.1908301,116.3906387,-42.55113547,1.02079895,7.77124699,11.90735738,1.287424444,50.0,6.007812535,-5.98318974,-132.9402205,-7.756715833999999,13.55233332,35.27820824,-11.40872267,1,0,0,0,0,0,0,1
3338,46,4,6,8890877.0,0,663837.0,1,1,2,2,2,1,0,77.6282697,1.907778618,0.565878482,2283.371998,327.3129046,6.146413186,-1.459846921,5.238669445,-59.25462369,-10.73698028,6.860332997,3.00214077,-0.356342727,69.80883196,-9.179861281,1.85878552,0.501327314,86.55463358,39.98811054,5.679530783,5094.091492000001,107.845146,83.16340555,21.66550408,287.4578635,107.8966991,18.65415652,5.217849731,-3.437973167,-6.373977828999998,1.402969181,50.0,6.2792246989999985,-1.323602227,-112.6027198,1.924535743,-4.297895939,25.46112898,-40.1423171,0,0,0,0,1,0,0,0
3339,51,2,1,9999670.0,1,9999989.0,0,2,1,0,0,0,0,90.71181623,-2.456607196,-2.9641616889999995,2134.7516960000007,200.9657509,6.090357288,1.910720916,6.825431992,-17.60499516,15.13665302,5.811833717000001,2.378298456,-0.31089777,82.99495804,-5.810966522999999,-1.852780951,0.41183361,86.64905925,15.92683401,-34.51190811,3092.222848,86.27647342,23.57503333,-68.23721933,238.0527796,237.6577086,-43.6796873,2.693209839,-4.079368059,9.14091428,-1.7226572269999998,50.0,5.925837249,6.674133143,-131.9546907,-6.149025833,-7.182993982999999,28.42595358,-16.078631,1,0,0,0,0,0,0,1
3340,59,4,6,9999670.0,1,8890876.0,1,2,2,2,2,1,0,76.71113109,0.570802546,-1.500572765,2389.6264530000008,104.0169018,6.140318565,1.813650025,6.093611441,-43.77876321,3.420317954,-13.87869269,3.020189555,-0.731019167,70.26067954,-7.662884993,-4.1250121910000015,0.494468113,88.12734636,39.06171709,-11.02873022,3664.49562,107.561203,84.29418692,-23.03318222,306.3723257,116.1599157,-15.1350057,5.544165649,7.104451237,1.6907645340000002,-1.690908235,50.0,6.161155462999999,3.296101867,-111.6223469,-0.06115049700000001,8.899008459,21.43982869,-30.05620337,0,0,1,0,0,0,0,0
3341,64,1,5,8890877.0,0,9999672.0,1,2,0,2,2,1,0,78.68509443,-0.589614505,1.725682795,2295.593679,309.337218,6.24430745,-1.422380414,5.092334871,-52.96949056,-5.6881748289999985,6.886147117,1.274306867,0.778099861,71.38995076,-10.39779737,3.015397247,0.49489868,85.97110983,29.06694472,-29.15745279,2841.956639,94.55053969,51.29782329,-56.21511870000001,308.2043583,308.2043583,-33.36770704,4.427583008,-3.040174908,-2.796823372,1.254259392,50.0,6.1486109089999985,-3.66009992,-114.1558147,-2.8738946010000004,-3.924741495,25.2639917,-35.78463317,0,1,0,0,0,0,0,0
3342,68,2,4,8890877.0,0,8888443.0,1,2,1,2,1,1,0,91.85343385,-3.034994414,2.887131746,2276.536211,149.8613426,6.311975979,-1.3613311330000002,5.601620982000001,-14.40301117,19.56216173,-11.37596988,2.272514485,0.3878893370000001,82.67916862,-5.73980098,0.742876317,0.419457953,82.54365307,35.55807225,4.874707221,3801.889351,108.9603076,66.73444085,15.08751771,286.3534809,281.8504341000001,13.14064565,4.849939575,7.027877406,11.46312779,1.121524663,50.0,6.0427914010000014,-6.32106493,-133.1613883,-7.568842563,12.42493982,32.69453557,-11.90780533,0,0,0,0,1,0,0,0
3343,78,4,4,8890877.0,0,8888861.0,1,2,2,1,2,1,0,77.68716563,0.485009997,0.66345103,2321.964775,323.6745844,6.185531667999999,-1.322696461,5.214874865,-59.94499907,-11.47665886,8.404778087999999,1.646153124,0.001492819,70.18953370000001,-10.68287602,2.246930775,0.501072527,80.15062222,28.54001681,-8.422139289,4047.916209,109.1645294,49.10583617,-13.5304356,274.0569165,268.58930560000005,-5.077611959,4.320800171,-4.218307861,-6.257140752000001,1.255430186,50.0,6.187006257999999,-1.565625382,-112.7338501,-0.901260688,-5.282331275,25.63859653,-40.00948669,0,0,0,1,0,0,0,0
