,Batter_ID,Up_The_Middle,SS,3_4_Hole,1B,5_6_Hole,2B,3B
0,8889924,19.047619047619047,4.761904761904762,6.349206349206349,0.0,3.1746031746031744,1.5873015873015872,4.761904761904762
1,8889923,19.230769230769234,11.538461538461538,11.538461538461538,3.8461538461538463,3.8461538461538463,0.0,0.0
2,8886492,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8881734,0.0,0.0,0.0,0.0,100.0,0.0,0.0
4,8889935,26.08695652173913,4.3478260869565215,0.0,0.0,4.3478260869565215,4.3478260869565215,0.0
5,8886465,0.0,0.0,100.0,0.0,0.0,0.0,0.0
6,8881728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8886462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8886477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8889949,20.0,20.0,0.0,0.0,0.0,0.0,0.0
10,8889925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8889921,15.0,5.0,5.0,0.0,20.0,0.0,0.0
12,8886496,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
13,8880671,11.11111111111111,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0
14,1110021,0.0,0.0,0.0,0.0,0.0,25.0,25.0
15,8889933,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,999804,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0
17,8889937,20.253164556962027,1.2658227848101267,5.063291139240507,3.79746835443038,1.2658227848101267,3.79746835443038,1.2658227848101267
18,1110015,0.0,0.0,100.0,0.0,0.0,0.0,0.0
19,1110014,50.0,0.0,0.0,0.0,0.0,0.0,0.0
20,8886500,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0
21,8889918,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0
22,1110024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,8882062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,8889917,16.94915254237288,1.694915254237288,3.389830508474576,1.694915254237288,11.864406779661019,0.0,6.779661016949152
25,8882669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8882666,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27,8882922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,8882904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,8889922,11.666666666666666,1.6666666666666667,5.0,1.6666666666666667,3.3333333333333335,3.3333333333333335,0.0
30,8882914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,8882916,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0
32,8889929,20.833333333333332,4.166666666666666,0.0,0.0,8.333333333333332,0.0,0.0
33,8892222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,8882903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8891699,0.0,0.0,0.0,0.0,50.0,0.0,0.0
36,8891688,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0
37,8891705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8891689,100.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8891690,0.0,0.0,0.0,0.0,50.0,0.0,0.0
40,8891749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8881867,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8881866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8881863,25.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8881877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8881884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,8892230,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,8892229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8882674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8882681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
