,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
1472,5.920707072000001,6.633921326,1.385302124,3366.012382,101.935252,161.85962990000004,96.51230057,23.84372643,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1484,31.38672431,49.21888687,3.7882574460000003,2915.030898,109.72266370000001,247.3186338,73.41766304,0.832805382,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1485,41.53347204,78.08129604,4.66855896,3238.4674379999997,101.40053520000001,117.13014240000001,74.61346802,-24.15440684,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1494,35.80930019,79.37897579,5.565559692000001,3729.156417,109.6100222,240.8237305,99.02530772,-1.442482768,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1495,59.20114531,123.05121059999999,5.493728637999999,4144.470989,109.91737009999999,60.63294435,78.39176169,1.455383043,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1510,45.58687869,92.90270469,5.232588501,4825.9763520000015,93.29277147,85.67575443,78.29899629,38.39011558,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1529,14.19356213,20.92971549,2.306980591,3006.406454,87.17052840000002,170.0550254,90.2738241,-41.74136791,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1541,45.07591682,104.1489368,5.735315552,4410.406359000001,109.04870420000002,186.6512267,92.50011789,9.45522678,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1545,27.366071500000004,55.71457402,4.986549683,3682.061878,109.2825318,380.07759219999997,102.1252872,11.50563789,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1547,34.42871954,70.02654181,5.2340057369999995,3165.223492,109.7511196,353.5068905,91.60162855,4.077401742,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1552,15.62378209,25.7888569,3.023104858,1459.833099,103.1897852,299.14336349999996,99.6110307,-22.75260648,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1570,10.72245442,10.33296909,1.4751269530000002,1382.05459,94.8386666,166.9887831,96.52418934,-32.45184944,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1571,21.90294962,39.50219620000001,3.89616394,3060.348696,108.24473200000001,303.4676818,91.5452144,-17.55869453,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1579,8.781385774,11.19949111,1.7760113530000001,3673.186168,83.77963851,151.3069341,97.93354958,-43.48459547,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1609,4.867590873,3.6671281689999997,1.125637817,1392.019693,109.7265179,135.5026605,99.91252178,-4.637156875,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1628,46.34380714,91.39924068,5.052351685,4812.418261,92.50723426,72.17172346,76.93292733,36.24715039,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1633,11.20232561,18.713942000000007,2.753214722,1405.789025,108.8985376,268.5112224,102.7737813,-8.939141434,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1635,37.50003105,79.25811906,5.17267395,4606.659796,106.09217439999999,130.7785468,89.08752463,22.14305918,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1644,45.27587032,112.743293,6.357056274,3639.073572,105.6888531,134.666046,98.89857456,-19.20923606,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1648,15.32103099,22.55300069,2.657335815,1203.219017,101.5973621,247.6571812,88.92330544,-25.39527598,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
