,Angle,Direction,HangTime,LastTrackedDistance,ExitSpeed,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,PlayResult
1001,0.9899046901488964,0.6865483728173398,0.5398230496718006,0.5426958204545799,0.760706756543368,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1002,0.9411630081437496,0.5991438450835394,0.29780159073208035,0.2979156702228501,0.7412803438038954,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1003,0.9772466053639156,0.3852076255539688,0.4495745234278713,0.4563114762597679,0.7389476517657866,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1004,0.8171355298204959,0.5120536191558273,0.05394485004053275,0.06370508632805383,0.7868476142588224,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1005,0.58130170764997,0.2533170216850467,0.03923976045780919,0.026658457986990628,0.1668742169079076,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1006,0.8956540034051548,0.5657395048762892,0.11206544496307452,0.11712216903899465,0.7768992871507102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1007,0.4608651436278946,0.6089701176304727,0.019910383020076836,0.006434633149317452,0.27079842095017304,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1008,0.6693113362531371,0.5687403021060048,0.019494726887230328,0.019689185776625047,0.7853008909890532,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1009,0.6560857447504599,0.5836791893253843,0.01849806592040299,0.029363352882883033,0.7461809357818502,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1010,0.5430916250297864,0.7176172069318436,0.015150892048074231,0.006704151045361244,0.5112536076862876,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1011,0.7094322174985518,0.49151498416887895,0.030553461781685182,0.0459889524882135,0.7374144024040162,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1012,0.4601614583675793,0.1938510130097561,0.04037345129727523,0.010873184675235613,0.11097684394104368,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1013,0.8784545752616496,0.4103571719167247,0.17337608657975806,0.1778217494384729,0.7202544358681581,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1014,0.9407189025274688,0.2609326161342156,0.2388104011880261,0.2514976167295665,0.7909607773471566,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1015,0.5703418054139586,0.5774339951516704,0.01636314610245193,0.00791765978219102,0.4833879942452453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1016,0.8662034094994739,0.5157324840440861,0.07495969057121211,0.07926327356961795,0.9017169174178232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1017,0.8279865614985356,0.4297827136850165,0.0591944495988198,0.05297425185309725,0.40147857757393457,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
