,Unnamed: 0,Angle,Balls,BatterId,BatterSide,Bearing,Direction_x,Distance,ExitSpeed_x,Extension,HangTime_x,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance_x,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult_x,3B_x,5_6_Hole_x,SS_x,Up_the_Middle_x,2B_x,3_4_Hole_x,1B_x,cluster #,Direction_y,HangTime_y,LastTrackedDistance_y,ExitSpeed_y,3B_y,5_6_Hole_y,SS_y,Up_the_Middle_y,2B_y,3_4_Hole_y,1B_y,PlayResult_y,hit_prob,shifted_hit_prob
110,1526,-15.36741263,0,1000018300.0,0,31.57414554,39.4759451,9.116667082000001,71.00137834,6.1254423970000005,0.08124816900000001,,0.37844514100000004,16.90141409,-2.850037742,2.215873554,5,5.1934385810000006,0,1,1,140,675965.0,1,1,2.283115631,0.360189327,,,,5.854022402000001,1.5881152619999999,88.85350057,0,262.4189859,2202.469719,0,-7.205873952999999,-33.47409425,-0.8443166129999999,79.84651867,0.429976377,-16.85300425,32.47245611,-29.69732213,-10.22341615,1.502438647,5.910264207999999,-129.0473098,-2.922500133,-1.379067695,50.0,5.772308144,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,39.4759451,0.08124816900000001,5.1934385810000006,71.00137834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
111,1557,-63.90139995,1,8888763.0,1,40.29487352,35.40117691,2.9922004419999997,65.83021863,5.667854871,0.038504027999999996,,-0.775786072,5.711272267000001,-1.85959406,13.38583342,5,2.224868161,2,0,7,170,8889451.0,1,4,3.377950082,-0.9835717979999999,,,,6.807363582000001,0.274714975,93.76440366,0,203.05885980000002,1946.500088,2,-5.600749007,-19.31212795,-1.9505465830000002,83.72669998,0.411558766,-6.816296526,36.85337703,-17.74693091,-3.729637846,7.894011622000001,4.219165151,-136.0668301,-5.307885569,-0.12137370900000001,50.0,6.630886651,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,35.40117691,0.038504027999999996,2.224868161,65.83021863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
112,1567,-49.82221938,0,1000017373.0,0,25.09409706,40.62888775,4.251741027,71.74856294,5.265409967,0.043372192000000004,,-0.9714913909999999,9.239774027000001,-2.7018864060000003,14.92832271,2,4.084568777,2,1,3,64,1000017282.0,1,2,3.448365659,0.096319974,,,,5.943983201,1.866048652,79.57480993,0,211.6815392,1767.464963,1,-5.673010615,-30.73506033,0.06980294299999999,71.76550269,0.48635743600000003,-7.660514363,24.37382504,-21.68540119,-5.755114211,7.879805542000001,5.156095001000001,-115.480534,-0.835912195,-1.625695916,50.0,5.9283382929999995,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,40.62888775,0.043372192000000004,4.084568777,71.74856294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
113,1568,-35.97225642,0,8900165.0,0,19.37381641,37.69897873,4.441441123,64.77596955,5.872988021,0.038342896,,3.7004669669999997,0.5761341179999999,3.5927350810000003,-5.528016524,3,3.276559127,0,1,2,70,8899331.0,0,3,2.078885487,0.350701479,,,,6.079998822,-3.038174357,77.89759152,0,354.0036672,2203.342662,2,-9.241797472,-51.35700387,0.2994446,72.25998658,0.487238558,0.83728336,19.77716078,-36.15853514,0.642091723,-3.0556033680000003,-7.125160332,-113.21852,-0.875020053,2.7473941889999995,50.0,6.074341357000001,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,37.69897873,0.038342896,3.276559127,64.77596955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
114,1579,-2.5548227740000002,0,9999983.0,0,39.75218707,41.61305075,33.71039163,102.3852339,6.1074452070000005,0.221254272,,-0.6837920540000001,14.78499356,-3.4918201310000003,7.635667322000001,1,31.87914581,0,0,2,7,675965.0,1,1,2.533235316,-0.465079688,,,,5.491124082000001,1.535319254,92.42094175,0,242.5918266,2226.097345,0,-5.696548813,-25.14526143,-0.9309851920000001,83.48229961,0.412080577,-16.50346896,32.64856167,-24.14820992,-9.169023224,4.459008043,7.716929795,-134.2172088,-2.9894084789999997,-1.275065532,50.0,5.406524667,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,41.61305075,0.221254272,31.87914581,102.3852339,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0
115,1608,-14.09587889,0,666179.0,0,35.5042103,44.80233951,9.719353084,97.94459449,6.5017863,0.059957275,,-0.319464665,9.234398731,-2.085463472,7.53706637,6,9.719353084,0,1,4,145,8889973.0,1,1,2.0446585919999998,0.168398601,,,,5.312740898,1.313542501,86.63237303,1,230.6510789,1969.9699640000001,0,-6.451750725,-29.02592753,-0.924722761,78.68755179,0.43520351399999996,-9.153779284,28.22679155,-25.08580927,-5.750290178999999,4.4527436719999995,4.333960562,-126.0683307,-2.843156493,-1.172048272,50.0,5.235434958,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,44.80233951,0.059957275,9.719353084,97.94459449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
116,1629,0.069607133,0,666179.0,0,30.17312308,34.4351749,37.56754679,90.02141406,6.275939673,0.288408813,3904.3354950000003,3.83620765,0.041017912000000004,3.828397103,-1.170486084,7,36.4210553,0,1,1,210,8891135.0,0,3,2.138842888,0.83066388,,,,5.24408779,-2.706428496,80.10302790000001,0,357.9202455,1740.111318,2,-7.81524689,-44.74272761,0.6747692279999999,72.4833184,0.475090635,1.678069285,25.52920762,-33.3396861,1.2482420220000001,-0.8670665609999999,-7.783011974,-116.2907625,0.17769071600000005,2.423821947,50.0,5.272323029,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,34.4351749,0.288408813,36.4210553,90.02141406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
117,1640,-0.571424145,1,1000017371.0,0,35.69312701,35.75088806,36.58694085,105.5080376,6.122124606,0.23734314,,-1.215461637,-0.343002586,-1.15034656,7.0611152939999995,5,35.5234255,2,1,3,193,8883550.0,1,4,2.04759283,-0.300187658,,,,5.31302503,0.791835347,84.09939083,0,177.2334263,2235.806548,2,-6.716638241,-32.23944533,-0.626046814,76.52237147,0.45120187,-0.24772281,26.32104729,-26.1056823,-0.164944483,4.040578794,2.4673143459999998,-122.37578559999999,-2.277814008,-0.703772615,50.0,5.248439736,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,35.75088806,0.23734314,35.5234255,105.5080376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
118,1662,-29.84657501,1,1000017371.0,0,23.58706858,34.74550415,6.171087417000001,86.65376659,5.6296893610000005,0.046168823,,1.854852206,-15.01998574,4.689621713999999,3.134907684,3,5.563113303,0,1,4,79,8888605.0,0,4,2.894208702,0.41348381799999995,,,,4.631775085,-2.719697093,83.94487862,0,101.929893,2229.8817489999997,2,-5.623524167,-37.79690161,1.508296481,75.05951904,0.46047068799999996,14.15154357,28.5890044,-30.4651856,9.671131927000001,1.167832966,-9.498119827,-121.52432879999999,2.025748248,2.329656835,50.0,4.736788649,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,34.74550415,0.046168823,5.563113303,86.65376659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
119,1691,-16.27251009,1,8899476.0,0,31.71472044,36.06511413,8.650769888,91.85923106,6.276787468999999,0.052642822,,0.11463849300000001,-18.799272600000002,3.681548325,4.210884908,8,8.650769888,2,1,4,273,8891135.0,0,2,1.9454168809999999,-0.575356915,,,,4.844741445,-2.4064454,88.10738209,0,102.722412,1983.3894489999998,0,-6.24378264,-31.35711776,-0.30992766899999996,80.30727068,0.429241059,18.78482043,27.65466064,-28.21507083,11.37025927,2.3963286409999998,-7.6802870379999995,-128.0469764,-1.6260400730000002,2.143961961,50.0,4.806545537,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,36.06511413,0.052642822,8.650769888,91.85923106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0
