,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult
20373,-64.00955186,3,8882774.0,1,9.703914733,-11.36851201,1.7195812869999998,74.9042407,6.582222956,0.022750854,,-0.44156739,13.12920935,-2.964226636,6.861893837999999,7,1.638162985,0,1,2,246,8889973.0,1,5,2.333499747,-0.495552083,,,,5.740599049,1.128884726,91.46499855,0,242.3003188,2203.51389,1,-6.339711259,-26.1110875,-1.341599346,82.41232583,0.413285936,-14.54060208,33.40005675,-24.69515371,-8.276059285,4.256754764,6.508477437000001,-132.95213940000002,-3.865665428,-0.931593898,50.0,5.637776341,Out
20375,-6.228442502,0,1000026384.0,0,10.38545394,12.82090774,13.93303345,91.94111351,5.680999588,0.096576538,,-1.444798908,-2.3966566190000003,-0.992918117,5.294973328,7,11.87043787,1,0,3,248,8889973.0,1,2,1.5451608609999998,0.290017809,,,,5.671982692,1.415257571,86.03826426,0,155.79268169999997,2533.060741,1,-7.654060865,-33.00257582,-1.4764560919999998,78.21516045,0.445406971,1.528173401,27.99972776,-27.00390942,0.976552833,3.303888171,2.244611192,-125.0545158,-4.287319486,-1.330276137,50.0,5.527385392,Single
20383,61.67865679,0,8888763.0,1,8.342190438,7.954677857999999,88.07448215,46.2030224,4.919880259,3.715640259,4452.886196,0.887059003,15.79568839,-2.05665124,9.359659182,7,36.5397775,0,1,1,256,8882348.0,1,1,3.038196979,0.831312287,,,,5.362473111,1.460013891,81.97341141,0,239.24140130000004,1891.615842,0,-5.803256832000001,-34.24463018,0.559694725,73.8737322,0.47526532,-12.5893326,26.01610208,-25.52220077,-8.924258694,4.715326247,3.72692056,-118.9302875,-0.016724927,-1.27236292,50.0,5.389488797,Out
20401,-12.25050038,1,8882755.0,0,4.216118573,3.604977225,8.709311213,93.60000496,6.170297698,0.060797729,,1.228756877,-16.3964666,4.343316263,-0.00591118,8,7.629573228,1,0,2,274,8891135.0,0,2,1.937875476,-0.145652949,,,,5.25042134,-2.797974494,86.30385203,0,90.10279269,1935.997443,0,-7.311302388,-37.57955191,-0.195342665,78.14313995,0.441177299,16.2029225,28.47559556,-32.08174635,10.34203074,0.058914818,-9.02825253,-125.2343571,-1.536087404,2.477540399,50.0,5.216549656000001,Single
20414,34.672758,3,8899326.0,1,2.891937895,-8.00006219,333.282915,89.76241875,6.205951359,5.223080444,3847.796126,-0.97864927,2.364870676,-1.42695275,15.55586319,8,328.8821447,0,1,1,287,681806.0,1,7,2.754438724,0.413316986,109.7370913,71.31606938,-7.59696657,6.1834612510000015,1.533400141,89.9665428,0,188.6266597,2411.324144,2,-5.539387009,-18.53870043,-2.040116828,82.08499095,0.420256159,-2.9438208510000003,28.58916741,-16.47571883,-1.703200667,9.082551898,3.1876131130000003,-130.8920907,-5.235785913,-1.427655449,50.0,6.02115148,Out
20432,-4.417466698,2,680968.0,1,-3.278694714,-5.583737731,26.62544113,109.7334363,6.15541242,0.164694214,,0.012475965,-20.24488427,3.867181046,11.98531869,9,24.61912657,1,0,2,305,8891135.0,0,7,2.978426064,-1.010075594,,,,5.212994837,-2.900729865,86.65783377,0,120.6997948,2027.035768,2,-4.95517832,-25.36312174,-0.130663211,77.91485032,0.439853198,19.4318724,29.46533764,-21.78187124,12.33128189,6.594777142000001,-7.903714327,-125.7951434,-1.038909054,2.6174370540000003,50.0,5.1901473860000005,Single
20434,-2.8304629130000003,0,8882774.0,1,-21.40574358,-22.60966018,30.44440414,99.93404358,6.215183605,0.205004272,,1.5123380380000002,-16.32918509,4.614964784,9.002272547,9,28.37310204,1,0,3,307,8891135.0,0,2,2.74226948,0.277246464,,,,5.295378505,-2.62946222,85.09058677,0,118.96552309999998,2066.02243,1,-5.715065416,-29.60757839,-0.092697815,76.79278115,0.447219345,15.83898589,27.64686159,-24.62747275,10.40511515,4.957576876,-9.493731588,-123.4390349,-1.053251107,2.291812278,50.0,5.273683832,Single
20444,-28.92396521,0,1000026388.0,0,-16.78452656,-0.707336097,4.391365254,57.14008149,6.0607270710000005,0.043617554,,3.987982621,-3.387145744,4.624736537,1.666667816,9,3.777124378,2,0,6,317,8891135.0,0,3,1.839676803,1.205244505,,,,5.369845457,-2.801537413,79.5214163,0,116.76112179999998,1822.5261920000007,2,-7.940614974,-42.38538178,0.002096563,72.96666642,0.477699271,4.254720203,22.01522527,-30.95758194,3.1631749680000003,0.904383033,-9.240881604,-115.4081478,-1.181894797,2.444343056,50.0,5.347284633,Single
20446,-16.16255826,1,8882755.0,0,-34.70250577,-36.31089645,9.719296194,76.86278688,6.347805086,0.09508606,,0.38649027,-19.0297852,4.026390816,10.63623567,9,8.735467386,2,1,7,319,8891135.0,0,2,3.2222314830000003,-0.4753397620000001,,,,5.30815301,-2.601479625,84.67631058,0,119.2858573,1888.288205,0,-5.112920714,-28.29712707,0.294982272,75.96302647,0.449089061,17.75059638,28.76298805,-23.53284661,11.83168147,5.7598036010000015,-8.1230291,-122.9161984,-0.152229019,2.318187425,50.0,5.316346745,Out
20469,10.82208476,2,8898512.0,0,20.88915693,15.01520241,163.7575678,101.334247,6.637123637,1.319240112,2015.430802,-0.51060584,10.33492949,-2.486079877,-2.19716364,1,147.5829742,1,1,2,9,675965.0,1,4,2.308354109,-0.093436651,104.1945603,9.035127129,35.2621005,5.588909192999999,1.322353564,91.8730088,0,281.8415234,2160.204152,1,-6.996237217999999,-34.38777122,-0.452846941,83.97750028,0.408353334,-11.64493932,30.29481774,-34.13041115,-6.463851292,-1.085934116,5.509554343,-133.7441628,-2.047260726,-1.158965544,50.0,5.544123875,Out
20475,28.56295185,3,8897243.0,0,-38.33932742,-33.35984442,86.96237745,41.76074932,5.500107172000001,1.889320679,4541.1004170000015,-3.222947854,-15.27270999,-0.329963035,-1.7132913790000002,1,86.40108219,2,1,3,15,675965.0,1,6,2.933557444,0.153457315,,,,5.600658364,1.73476251,83.66889848,0,83.74353362,2569.206478,2,-7.136577652000001,-43.10049181,0.988575774,74.84458392,0.46302511,11.69942999,30.1165766,-34.02563498,8.061776494,-1.275880614,1.185654447,-121.4608957,0.7239433340000001,-1.696021359,50.0,5.658826696,Out
20485,5.419879366,3,8888763.0,1,-18.83844729,-18.72828185,88.56164525,91.61283381,6.060157782999999,0.710921021,1576.378741,0.800241787,-7.464374781,2.218876477,6.0811058110000005,1,86.64021716,0,0,2,25,8882721.0,0,6,2.556703924,0.09868603,,,,6.246440057999999,-1.333677395,71.97839870000001,0,129.4029916,1163.874654,2,-8.725723941,-48.00546269,0.335508602,65.43665847,0.529317476,5.21865779,20.08937297,-28.67435687,4.777445028,3.203809357,-3.866744013,-104.6386247,-0.59325178,1.165658738,50.0,6.246966555,Single
20488,0.267009582,1,8888760.0,1,18.71193211,17.19993989,62.42248322,94.83282059,5.816997135,0.474666138,2871.12984,0.013711669,-16.16152759,3.0838664510000005,14.26877172,1,57.5476747,0,1,3,28,8882721.0,0,3,2.295700583,0.098642756,,,,6.298111101,-1.424259496,82.98457483,0,131.51842150000002,1988.061663,1,-7.005813578,-27.21724574,-1.862185207,74.41712006,0.463577545,14.06100453,28.34490088,-20.18514523,9.807603517,8.362305135,-5.999877132000001,-120.3728133,-4.73658353,1.181417051,50.0,6.129849734,Single
20498,57.68283303,2,8899332.0,1,21.07049086,0.66640647,137.1136615,61.99496134,6.341960427999999,4.5830743410000006,3744.004474,-1.217829769,-15.63897463,1.728491574,5.075881156,1,69.15396931,1,1,6,38,8882721.0,0,4,1.770554745,-0.835754043,103.6480742,64.68296871,36.83846986,6.096103822000001,-1.124048706,73.59704459,0,108.1367817,1416.240335,1,-9.002795257,-44.74009166,-0.648470591,68.87942190000001,0.507990776,10.58353157,16.00467424,-28.71451945,8.952147876,2.926264826,-2.84673056,-107.26787140000002,-2.331214227,1.006147255,50.0,6.027460712000001,Out
20504,8.953528469,0,8891982.0,1,-32.93077076,-29.87705612,118.3725166,87.20163607,6.217901808,1.06034729,3899.713624,-0.05799626400000001,13.08383986,-2.568638534,4.682894191,2,103.3246938,0,1,1,44,675965.0,1,1,2.602667189,-0.029970434,92.6621498,1.90513382,-59.27668404,5.73231645,1.251267114,86.67363235,0,250.1700962,2046.328942,0,-6.702574173,-32.854198600000004,-0.424208774,77.42288374,0.44096268,-12.66043742,32.23109581,-27.92133616,-8.115317371,2.725980917,5.268302053,-125.89889840000002,-1.886488346,-1.065646327,50.0,5.684449409,Out
20528,-22.89963088,3,8899326.0,1,8.900420775,-0.6935442470000001,7.2870417,85.87762647,5.883439845,0.051264038,,-1.46714209,-16.91949351,1.725560318,22.60488107,2,5.9349431789999985,2,0,3,68,8882721.0,0,6,2.559108164,-1.183986608,,,,6.487567013,-1.376684026,82.40692432,0,143.23270269999998,2000.680188,2,-6.054518562,-18.66843543,-2.552642397,75.04465414,0.462387625,13.92383552,24.3802875,-13.46531988,9.644462004,12.95875857,-3.1012991660000004,-119.7528216,-5.899877656,1.247361146,50.0,6.270987944,Single
20534,15.12449461,1,8888763.0,1,32.97387807,21.96528635,252.0696878,91.87722804,5.895892564,2.537733765,3083.321295,-0.29004731,-11.17489314,1.816970014,19.41675763,2,245.7904677,2,1,4,74,8882721.0,0,6,2.499470877,-0.658779066,98.03201939,23.51845532,49.89700599,6.463041937000001,-1.4147525909999998,83.4006092,0,150.12650209999995,1922.580253,2,-6.298116086,-20.78143189,-2.401610392,76.11128289,0.456325528,9.722632813999999,24.53792244,-15.60350478,6.558748665,11.17825119,-3.507230457,-121.2238394,-5.71591742,1.2751332709999998,50.0,6.257995474,Out
20541,-25.74946848,0,8897230.0,0,-3.277394321,-4.962378132,5.946991467999999,88.20005474,6.581192336,0.04295105,,-0.853723735,4.938420839,-1.794503364,0.612434471,3,4.235694808,1,1,2,81,675965.0,1,2,2.465304027,-0.067823987,,,,5.778967842,1.165508987,89.1204204,0,262.5645975,2113.244083,1,-6.918771917999999,-33.483206800000005,-0.5708982570000001,81.88414420000002,0.4202628,-5.512223937999999,27.19823162,-31.32498361,-3.230222747,0.497561225,3.927141048,-129.82117140000003,-2.244711164,-1.044876884,50.0,5.725615286,Out
20565,50.78061072,2,8898911.0,1,20.77269151,12.60004476,229.6789279,79.78886752,6.495889954,5.088893433,3937.484835,-0.162135061,-5.761845307000001,0.94900959,12.4099291,3,98.89889884,0,1,3,105,8882721.0,0,6,2.908954335,-0.8188033370000001,104.2789253,107.2788644,35.01236223,6.299458264,-1.209733741,73.86346584,0,155.1791244,1344.488786,2,-7.585177169,-38.56096375,-0.192922868,66.28005779,0.513845596,4.022500804,23.27131636,-24.26223522,3.535200774,6.953348172999999,-1.645016775,-107.4541616,-1.264986069,1.145929008,50.0,6.2692233910000015,Out
20570,2.880293753,3,8899332.0,1,-23.04633301,-22.89489526,78.03930594,93.47122563,6.377387858,0.6044061279999999,1535.529536,-0.639117079,-12.86881162,1.834932156,12.06615532,3,75.9793657,1,0,4,110,8882721.0,0,5,2.998530552,-0.7322511559999999,,,,6.134901911,-1.348330119,72.12935624,1,133.27561809999997,1097.637039,1,-7.596056278,-41.60626846,0.359445359,64.78329855,0.527287071,8.416442068,21.91888135,-25.07854666,7.753018083,6.536200697999999,-3.057928345,-104.8755255,-0.31786606100000003,1.222201501,50.0,6.141668977999999,Single
20571,-16.28670817,0,1000017377.0,1,-21.16044427,-22.9901566,9.16876248,87.59281213,6.054820463,0.065195923,,0.07447717200000001,-14.30359632,2.818384533,18.19126284,3,6.617611848999998,1,2,5,111,8882721.0,0,1,2.426297345,0.212778451,,,,6.4010598320000005,-1.205781079,80.98226823,0,141.8849959,1919.93284,0,-6.848149461,-25.36744744,-2.007340451,71.90459442,0.47501686,12.00053651,29.15672362,-17.71416702,8.886221929,10.70733098,-5.384642443,-117.4595318,-4.827447588,0.994494624,50.0,6.2318265089999985,Out
20575,51.60288303,1,8897229.0,0,11.79806149,-0.185726957,204.1676614,79.46819923,5.448917400000001,5.278515015,4662.5375060000015,-3.178747198,-15.82133649,-0.199839871,-6.451247396,4,97.57417176,0,1,1,115,675965.0,1,4,1.979815614,-0.03834257,108.94691670000002,112.0892146,15.18433637,5.716416959,1.467168368,82.49423166,0,67.93998977,2575.594091,2,-8.753981468,-48.70552572,0.344188234,74.81714104,0.4678502470000001,11.95228557,27.14960163,-37.2493754,8.371879011,-3.554970473,0.9232258,-119.8500723,-0.835275432,-1.43896174,50.0,5.714142822,Out
