,Unnamed: 0,Angle,Balls,BatterId,BatterSide,Bearing,Direction_x,Distance,ExitSpeed_x,Extension,HangTime_x,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance_x,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult_x,3B_x,5_6_Hole_x,SS_x,Up_the_Middle_x,2B_x,3_4_Hole_x,1B_x,cluster #,Direction_y,HangTime_y,LastTrackedDistance_y,ExitSpeed_y,3B_y,5_6_Hole_y,SS_y,Up_the_Middle_y,2B_y,3_4_Hole_y,1B_y,PlayResult_y,hit_prob,shifted_hit_prob
40,492,-24.72050887,0,8889926.0,1,-39.47130768,-44.31142612,6.6732033479999995,77.68166405,5.613438965,0.054795532,,1.996029743,5.486592185,0.9655358759999999,-9.486158534,4,3.7536625760000004,1,1,4,140,8883393.0,0,2,2.7006734060000004,0.297137722,,,,6.267614657,-1.061206916,78.96569824,0,329.8437784,2206.941128,1,-9.149951996,-54.85786434,1.076168938,72.419669,0.484801631,-3.5089874180000002,22.64665833,-39.32636242,-2.646990329,-5.395318755,-2.099955548,-114.8199185,0.508905626,0.975378947,50.0,6.324479506,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-44.31142612,0.054795532,3.7536625760000004,77.68166405,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.42259460813657723,0.42259460813657723
41,507,-25.53224961,0,8887744.0,1,-47.39021466,-38.22582804,5.813364905,48.66005365,5.301383917,0.071522827,,1.280683861,10.95737436,-0.750749482,7.99487032,4,5.479569711,1,1,4,92,8889942.0,1,3,2.4369475919999997,1.454187853,,,,6.273929353,1.24580602,85.88873651,0,233.76168169999997,2258.1138539999997,2,-6.9762244860000004,-30.26661836,-1.4002944659999998,79.48265301,0.44519722700000003,-9.515420304,22.99904395,-24.88891883,-5.961834607999999,4.564458233,1.255809702,-124.9688197,-4.10957111,-1.185608101,50.0,6.125023753,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-38.22582804,0.071522827,5.479569711,48.66005365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.05352860085762057,-0.05352860085762057
42,509,3.3418655989999997,1,8883384.0,1,-42.85590238,-40.62943092,91.45444616,103.71800970000001,5.152550795,0.661303711,3446.417275,-0.107091384,12.568899,-2.44201452,12.09379874,5,91.45444616,0,0,1,109,8889942.0,1,2,2.604053485,-0.19847187300000002,,,,6.261564634,1.0540575140000001,85.63210933,0,226.01660519999996,2207.0234,0,-6.4917137270000005,-27.05461226,-1.4888407590000001,78.28078956,0.450327624,-11.405719300000001,25.23020564,-21.57842768,-7.292654513,6.774689114,4.861301931,-124.35735120000001,-4.1868826860000015,-0.835517906,50.0,6.102112381,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-40.62943092,0.661303711,91.45444616,103.71800970000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7909712384532894,0.7909712384532894
43,521,-29.95594686,2,8889917.0,1,-24.74609702,-41.16238199,4.426714411,72.28327096,6.518847012,0.027835082999999997,,-0.49555370600000004,5.156650671,-1.47040595,1.244290435,8,4.219678132,2,1,5,240,8887735.0,1,4,1.3663525730000001,0.173463566,,,,5.9539520360000004,1.092993841,75.10190792,0,255.96571980000004,1481.5761109999999,1,-9.461449322,-46.28109083,-0.796328475,70.34949345,0.49617436600000003,-3.9219643410000002,16.78988931,-31.09823347,-3.185872911,0.873901405,2.684065061,-109.4939555,-2.658124478,-0.99312467,50.0,5.878030265,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-41.16238199,0.027835082999999997,4.219678132,72.28327096,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.22719902708736006,0.22719902708736006
44,522,-14.8847494,1,8888744.0,1,-29.28296233,-35.23597496,9.405066951,100.5073449,6.095426869,0.05286315900000002,,-0.132989212,10.04860158,-2.0240565,4.564382082,9,5.693661239,2,1,4,251,675965.0,1,3,1.962333846,0.28296392600000003,,,,5.725680285,1.318193095,88.24206617,0,245.4145483,2245.4173690000002,1,-7.045714777000001,-30.68356385,-1.303450517,81.54549425,0.42730544299999995,-10.049879800000001,24.83210145,-27.44234821,-5.971768717000001,2.811637621,4.226512409,-128.4590702,-3.8816174560000003,-1.167924908,50.0,5.609078222000001,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-35.23597496,0.05286315900000002,5.693661239,100.5073449,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.03628072527775883,0.03628072527775883
45,532,-17.36726308,1,8887744.0,1,-37.40964367,-37.25846355,7.735867323,82.91407074,5.722427464,0.054830933,,-0.239560047,8.291867889,-1.797178665,7.096927179,6,7.609607192,1,1,4,161,8889927.0,1,2,2.066301635,0.8838834879999999,,,,5.612638751,1.867161895,93.14372302,0,229.31890019999997,2033.7860739999999,0,-6.271807967000001,-25.28561488,-1.544229905,85.10423714,0.409568915,-9.190174426,30.33094545,-24.30473772,-4.961954563,4.24879453,3.959912053,-135.428459,-4.535316157,-1.7223763980000002,50.0,5.468308035,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-37.25846355,0.054830933,7.609607192,82.91407074,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06095420424467379,0.06095420424467379
46,572,0.58093903,2,8891474.0,1,-42.99052515,-42.55433885,56.45058661,94.10745881,5.993270355,0.418290405,4196.615997,0.585599934,13.12252099,-1.906462256,12.91509532,9,53.74271923,1,0,3,360,8889943.0,1,6,2.158593351,1.017766223,,,,5.882580798999999,1.691357421,90.03959209,1,225.3841943,1918.573952,2,-6.172176922,-21.76845217,-2.059270146,81.33666893,0.42387058,-13.21778141,31.38614066,-19.06425244,-7.740754419,7.677514791,3.937101163,-130.82321979999998,-5.399167945,-1.548543936,50.0,5.708608521,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-42.55433885,0.418290405,53.74271923,94.10745881,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.6411723450499536,0.6411723450499536
47,582,3.615018143,2,8891474.0,1,-35.06823088,-33.76972572,66.12831989,77.71983695,6.070549177,0.607959595,3176.205923,-0.054097699000000006,6.974688106,-1.3719214069999999,9.727550039,5,64.71948964,0,2,2,147,8889936.0,1,5,2.7986604180000003,0.393335914,,,,5.4267709160000015,1.081693755,84.234886,0,215.53871030000002,1856.0966399999998,2,-5.714029561,-29.24324845,-0.206562742,77.06254229999998,0.449304916,-6.346979157000001,24.582114899999997,-24.05439458,-4.17465532,5.340612569,2.729531428,-122.6237428,-1.310951822,-0.979367958,50.0,5.39517145,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-33.76972572,0.607959595,64.71948964,77.71983695,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17676475491334953,0.17676475491334953
48,617,3.495125484,1,8882690.0,1,-42.23911521,-40.97604286,89.5162141,99.67637404,5.237256906,0.664729614,3285.185616,-2.713648018,-10.93624146,-0.6754272029999999,-7.248593882000001,4,88.99108467,1,0,3,146,8889973.0,1,4,3.38686659,-0.258117715,,,,5.635775113999999,1.2880120720000001,77.53203397,0,56.627145,2598.674811,2,-7.721349115,-55.00629246,2.4828657119999997,70.88929308,0.497385607,7.1143898110000015,21.48485325,-37.98905523,5.571804332,-4.554161391,1.670190035,-112.59948999999999,3.158826434,-1.218010577,50.0,5.823838866,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-40.97604286,0.664729614,88.99108467,99.67637404,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.7812124807434762,0.7812124807434762
49,622,-35.28613994,0,8888760.0,1,-25.28149175,-34.93786782,4.813561571,86.00996327,6.258096366,0.033705444,,-1.069936051,-1.404103319,-0.8042468190000001,9.349757725,5,4.5903831230000005,1,1,2,210,8891798.0,1,1,2.445057738,0.081643305,,,,5.842019839,0.940179214,84.99496177,0,171.4913322,2548.897724,0,-6.4757346510000025,-28.51810576,-1.106590838,78.18019126,0.44290126399999996,0.853501347,24.18355176,-23.76294429,0.548708655,5.40742639,1.778567716,-123.7980879,-3.218777942,-0.87995376,50.0,5.74597558,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-34.93786782,0.033705444,4.5903831230000005,86.00996327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.014419549256169173,-0.014419549256169173
