,Batter_ID,BIP_middle,actual_hits_middle,expected_hits_middle,shifted_hits_middle,BIP_SS,actual_hits_SS,expected_hits_SS,shifted_hits_SS,BIP_3_4,actual_hits_3_4,expected_hits_3_4,shifted_hits_3_4BIP_1B,actual_hits_1B,expected_hits_1B,shifted_hits_1B,BIP_5_6,actual_hits_5_6,expected_hits_5_6,shifted_hits_5_6BIP_2B,actual_hits_2B,expected_hits_2B,shifted_hits_2BBIP_3B,actual_hits_3B,expected_hits_3B,shifted_hits_3BBIP,total_expected_hits,total_shifted_hits,BIP,BIP_1B,BIP_2B,BIP_3B,shifted_hits_2B,shifted_hits_3B,shifted_hits_3_4,shifted_hits_5_6
31,8882916.0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,,1,0,,0,0,,0,0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
32,8889929.0,8,5,3,0,6,1,2,4,1,0,0,,0,0,0,3,2,2,,0,0,,0,0,,7,6,24.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0
33,8892222.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,8882903.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8891699.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,2,2,,0,0,,0,0,,2,1,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
36,8891688.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,2,1,,0,0,,0,1,,2,3,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
37,8891705.0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
38,8891689.0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8891690.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,,0,0,,0,0,,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,8891749.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,2,0,0,,0,0,,0,0,,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,8881867.0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,8881866.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8881863.0,3,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,8881877.0,0,0,0,0,2,0,0,1,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,8881884.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,8892230.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,8892229.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,8882674.0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,8882681.0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,8882690.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,,0,0,,1,1,,1,2,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
51,8888946.0,19,6,7,0,15,5,2,3,3,1,1,,0,0,0,10,6,4,,4,3,,4,1,,18,11,67.0,3.0,8.0,9.0,0.0,1.0,1.0,6.0
52,8882664.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,1,,1,1,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
53,8882695.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,8882687.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,8892804.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,1,1,,0,0,,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,8886413.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,8892832.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,8886417.0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,8892824.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,8892755.0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,8892770.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
62,8892742.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,,0,0,,0,0,,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,8892751.0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,8892773.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,8892736.0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,8892788.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,8889926.0,6,1,1,0,6,2,0,1,0,0,0,,0,0,0,3,1,2,,0,0,,0,0,,3,1,19.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
68,8892953.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,8880258.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,8880262.0,1,1,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,8888763.0,14,5,4,0,8,1,0,1,2,0,2,,1,0,0,17,7,9,,1,0,,0,0,,15,10,50.0,1.0,4.0,4.0,0.0,0.0,2.0,7.0
72,8892954.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,8880259.0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,,0,0,,0,0,,1,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,8880246.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,8880257.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,8892789.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,1,1,,0,0,,0,0,,1,1,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
77,8892803.0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,8892785.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,1,1,,0,0,,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
79,8892778.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,8884131.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,,0,0,,0,0,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,8884118.0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,8893545.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,8884120.0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,0,,0,0,,0,0,,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,8884136.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,8893537.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,8884135.0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,642215.0,2,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,1,0,,0,0,,0,0,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,8884529.0,6,3,1,0,1,0,0,0,0,0,0,,0,0,0,3,2,0,,0,0,,0,0,,1,2,12.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
89,8884539.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,1,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,8884522.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,,0,0,,0,0,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,8890878.0,2,1,0,0,2,0,0,0,3,2,1,,0,0,0,2,0,1,,0,0,,0,0,,2,3,13.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0
92,8884531.0,1,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,8884523.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,666179.0,3,1,1,0,1,0,0,0,7,3,5,,0,0,0,0,0,0,,0,0,,0,0,,6,5,18.0,5.0,1.0,1.0,0.0,0.0,5.0,0.0
95,8884520.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,8884540.0,0,0,0,0,0,0,0,0,1,1,1,,0,0,0,0,0,0,,0,0,,0,0,,1,1,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
97,8884528.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,670133.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,1,1,,1,1,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
99,8883994.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,,0,0,,0,0,,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
