,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,1B,3_4_Hole,2B,Up_the_Middle,SS,5_6_Hole,3B,PlayResult,cluster #
5,0.1751819410193898,0.10130065088548927,0.20660109210557773,0.3097380893488155,0.9395951044437196,0.4149167207443264,0.4672224797917632,0.6440274543361906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
6,0.19661336773054866,0.15659284422217273,0.3569276947223754,0.4394951741130894,0.4340399275573086,0.412022889818534,0.6706180753430749,0.9218326032212332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
7,0.16156260113281865,0.11754120997890445,0.21707062972204985,0.2586564973516516,0.7997105359896186,0.5013552752579108,0.7029811127460504,0.2470863346409372,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
8,0.2539913929102907,0.18542721766176445,0.3625812523060775,0.22322693033745486,0.7782593938766897,0.6000237157728868,0.5572732138755456,0.7322784347621742,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
9,0.09908868151916783,0.08885886473535448,0.2234113051293264,0.04127183793041515,0.9963960220509964,0.5484963081559979,0.8067671922466204,0.4881031494826353,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
10,0.2155677954745797,0.17689191596773615,0.3945448103254065,0.21276535284690826,0.985549637136617,0.7203008495689546,0.7588861181229516,0.607152106803028,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
11,0.25159742733888346,0.22649200116181256,0.5044351231559903,0.39490560320337903,0.9965907485773058,0.79335792227616,0.7726822333598657,0.4425203479019461,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
12,0.23653995531996966,0.21233875411181893,0.4646997114405762,0.2162510126577408,0.9495781273838596,0.8087576122158898,0.7640671748573897,0.6039883477730067,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
13,0.2915607519028214,0.22375262698992351,0.4569962979617574,0.4111323522275577,0.6082399737973674,0.6319790810951681,0.5365879715558091,0.1736768688431049,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
14,0.20412988788144013,0.17339505480967055,0.3420900257161996,0.04572918630266519,0.9100001619813108,0.6673310287792562,0.7127458489676783,0.6485126069497225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
15,0.281642681238136,0.23947959311792866,0.5004570827312761,0.5141092665849983,0.9885865978006292,0.7968157004306887,0.6817138051741323,0.5895925995338136,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
16,0.08968208900793595,0.06901294755766922,0.15751608112571935,0.3550562846054757,0.8251165847485975,0.4650571496580838,0.7892483247830506,0.26517232150300485,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4
17,0.2798533212517911,0.2195517732453465,0.4054707969619457,0.4497891171138944,0.7153215292383659,0.6537096420490505,0.623668110184542,0.1988401098805037,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
18,0.03396200744774691,0.002463939508597489,0.009935957673261206,0.4436336132753964,0.4014967228760256,0.2044469050615506,0.8272978552054282,0.12556138792499955,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
19,0.2018140115000321,0.18909691767683895,0.440016614022708,0.13822328074466467,0.935278797247424,0.8620343244647026,0.8486086902790497,0.3812089115015206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
20,0.3313141309589738,0.27679942822225706,0.4754190196740223,0.3341042226791903,0.5259235712141312,0.32060936715291743,0.7151000671583527,0.8532645939046806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
21,0.1242348137872015,0.097625347780924,0.22236243201995387,0.14753183209663445,0.9390469358458722,0.5484525154814717,0.7240191331818993,0.3699236256931136,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4
22,0.2447114611923571,0.21699111574815474,0.48471113269199,0.2273362056476297,0.8908546923337859,0.8164574919988558,0.7846571179334063,0.35695024293429145,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4
23,0.2892096994832328,0.21332928792623584,0.4040646952449223,0.1208874204001285,0.9752986073992242,0.5553358010266027,0.4851705859172981,0.4224748066636701,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
24,0.2529182405898698,0.20689419763361305,0.4295936083852765,0.22618075312807226,0.99810231794023,0.7000660651232158,0.6906611584500779,0.5319631145650286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
25,0.189759123635416,0.14848128159574922,0.3330340131002107,0.3047692828960062,0.9751045067842384,0.6338991072128312,0.6273967268663192,0.3916176066679469,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
26,0.06504020833359192,0.07988797420386777,0.24105049532700615,0.3179832262787137,0.9874927091181482,0.597705706775531,0.8696528064957503,0.5993033632622652,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
27,0.3541812511973313,0.27848456809524635,0.4801969773309059,0.4056515663391752,0.986949314310301,0.585921838133095,0.5155493391793378,0.3972926265183697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
28,0.3278842920175402,0.27598261563448123,0.5414322937302953,0.3907143162838512,0.4737342609015287,0.31321252291039225,0.700124604938084,0.8926775883443148,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
29,0.17923334455229606,0.17130796918562635,0.4621074036453242,0.2988940831700076,0.9850703868888236,0.8506143042113187,0.8630541458272609,0.5216102640681608,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2
30,0.042751876345862125,0.02363355017473116,0.04891753160122271,0.3978470021031725,0.1331378193694981,0.26806816722337146,0.8179509883339793,0.9592929682486038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
31,0.07743469375950005,0.04459895581743925,0.12439745928043534,0.3080144656096527,0.9653604684628831,0.2668376091763708,0.5436647775808423,0.6100179161993089,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
32,0.14996543150876168,0.10366640379478168,0.23368077288639444,0.38635440164794893,0.9289350594925128,0.480806749017377,0.5970881979215157,0.6872911819265384,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
