,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
3,0.637003136,0,8881734.0,1,-21.9447801,-23.73958202,63.68671558,96.67719183,5.457647008,0.47048645,2216.016483,-0.315029364,10.6414138,-2.305939183,10.11453452,3,63.68671558,0,0,3,80,8889942.0,1,2,2.323458859,-0.434114864,,,,6.250541204,0.8384516540000001,86.70366351,1,226.3536047,2124.769706,1,-6.88559255,-27.73889022,-1.7241910669999998,79.11208876,0.442816818,-10.11899218,26.67562684,-22.77342051,-6.38409776,5.9308800160000015,4.710888457,-125.9415866,-4.733928802,-0.642638303,50.0,6.079939195,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
16,0.50416554,0,8889921.0,1,-23.36517509,-24.92400924,65.95151997,98.63252695,6.009758112999999,0.4704718020000001,2306.41807,-2.863843587,7.650417237,-4.304391162,20.77799158,2,65.95151997,2,0,4,80,1110016.0,1,1,2.915495819,-0.17656517600000002,,,,6.419018937000001,3.180525352,90.48031845,0,200.1849116,1955.230898,0,-5.091021616,-13.40848074,-2.567048352,82.26868589,0.42082222,-9.375470972999999,28.90231825,-11.31972012,-5.4151886,12.04527452,9.630601401,-131.2122463,-6.329454366,-2.846826075,50.0,6.209858576,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
30,-6.347594684,1,8886500.0,1,-30.24151737,-33.09416503,27.35140029,97.30396799,5.3432290280000005,0.183320923,,-0.118292888,13.18630654,-2.577020848,12.5789492,3,27.14814475,0,2,2,53,8889942.0,1,3,2.798895696,0.031778669,,,,6.013924387,1.351594192,78.91209015,0,226.2526143,,1,-6.64273379,-33.19754646,-0.477761163,72.14048716,0.486959441,-10.24043657,21.60578315,-23.15257701,-7.770506685,6.845548478,4.745094907,-114.6491662,-2.001832269,-1.128843475,50.0,5.947496032999999,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
37,-17.62831879,1,8889921.0,1,-19.48098404,-26.91191826,8.580230622,92.91381719,6.494912169,0.037792358,,-0.7115950109999999,10.53125558,-2.71250497,10.10488014,4,8.419629297,0,0,1,92,8886499.0,1,2,1.866050776,-0.08612461,,,,5.477828211,1.527725913,87.68337883,0,226.0895975,1862.315799,0,-6.418944627,-25.26637253,-1.6388257819999998,80.4874926,0.428052205,-10.80861425,25.94642427,-22.23936929,-6.697559057,6.1560251410000015,5.745443389,-127.5940326,-4.373560842,-1.34271635,50.0,5.351900547,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
48,-2.025604328,1,8889917.0,1,-27.31391105,-28.08494202,39.79493295,104.5071488,7.017665227,0.257329712,,0.103381816,5.535461644,-0.973344642,21.20165935,2,34.31803177,0,0,1,65,999810.0,1,5,1.945012953,0.493399299,,,,5.970231721,0.916671333,88.0165802,0,194.6106623,1959.666439,2,-5.849576418,-14.00765787,-3.141462344,78.78042752,0.427071234,-5.61265453,32.6306546,-11.008953,-3.571260403,13.46708002,2.037478637,-127.9939659,-7.372755885,-0.859385252,50.0,5.774442159,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
52,-2.834130141,1,8889918.0,1,-28.38706313,-29.60798391,41.81787826,98.77842845,6.996888236,0.287341919,,-0.041756055,5.757465012000001,-1.1575564740000002,12.91707835,4,41.81787826,1,0,2,138,999810.0,1,3,3.002503829,0.308833708,,,,5.555085785,0.8814760709999999,85.96736816,0,203.967059,,1,-5.21529668,-23.7064994,-0.634610684,77.44141792,0.435563925,-5.6583294460000015,29.71205374,-20.49713946,-3.717831592,7.67236725,2.38928035,-125.2238353,-1.967823875,-0.812680779,50.0,5.508198298,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
53,-5.849504203,0,8880671.0,1,-26.73504289,-28.01463445,27.06813047,91.1247351,6.186213476,0.195974731,,0.64908613,14.33099012,-2.081289061,9.601449257,5,26.07813293,0,0,5,168,8889952.0,1,1,3.059251465,0.498122421,,,,5.5427520160000014,1.226182849,86.16823811,0,236.0815187,1783.622127,0,-5.4750144270000005,-27.92984977,-0.168878077,77.83754775,0.440928648,-13.3290183,28.71788613,-23.8584171,-8.583621082,5.355100271,4.13284512,-125.3116978,-1.190381055,-1.07667493,50.0,5.515963791,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
56,-32.91581823,0,8889923.0,0,-11.22023589,-24.80542645,5.5743820039999985,38.7832422,6.944204213,0.060789185,,-0.5640605129999999,14.57728088,-3.355438893,7.036091622000001,6,5.464234013,2,1,4,241,8886498.0,1,1,1.670568415,-0.133888179,,,,5.381938195,1.708213485,81.30986494,0,244.1134862,,0,-7.382501136,-33.39677926,-1.01828244,74.81707277,0.457655628,-12.90829809,22.31899938,-26.17776493,-9.17400603,4.261595271,6.592293832999999,-118.3628342,-2.903272899,-1.505005018,50.0,5.306732042,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
63,-35.1693376,2,8889935.0,1,-3.716835545,-26.01195564,5.348502496,57.9495892,5.944960862,0.04526062,,-3.862854536,-7.924049442999999,-2.377503494,-2.434704039,1,4.865056727,2,1,4,37,8882935.0,1,5,2.072702514,-1.09494944,,,,5.950068325,1.7715969930000002,81.56956976,0,73.17890247,,2,-8.42227519,-44.02940524,-0.224352014,75.58771774,0.464184381,5.2246876030000005,21.78922362,-33.97193056,3.646145422,-1.254685396,5.1625833860000006,-118.6984473,-1.76723171,-1.5780447780000002,50.0,5.907332162,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
79,-7.4424554139999985,0,8891699.0,1,-20.6471567,-22.70624148,21.58830537,80.52246733,5.329417547,0.175742798,,-0.597030136,13.01145161,-3.053497335,16.80906445,1,20.82255824,0,0,3,10,8889942.0,1,1,3.10350419,-0.536409668,,,,6.031430028,1.246694676,88.33325440000002,0,217.6844523,2281.232209,0,-5.176603009,-20.66229641,-1.28352386,78.50990691,0.440576422,-12.94788396,33.29059042,-16.9943236,-8.028258335,9.412098052000001,6.379283629,-128.0015679,-3.584780578,-0.979952937,50.0,5.901124096,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
80,-2.516547489,1,8891688.0,1,-25.38995935,-27.31593366,28.33446014,74.53772727,5.78364227,0.249547729,,-0.584354616,16.24798328,-3.651874456,9.714424064,1,26.89941572,0,0,4,13,8889942.0,1,3,2.647369068,-0.5982593279999999,,,,5.766549848,1.449450492,82.47614925,0,239.02371780000004,2097.409484,1,-6.506617847,-31.97489978,-0.487695946,74.57603449,0.464712061,-14.19404418,25.92362359,-24.45575528,-9.913038087999999,5.390411238,7.147705049,-119.6981486,-1.988925516,-1.158156355,50.0,5.707347273,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
86,-10.51318651,0,8891749.0,1,-26.55119206,-30.29766517,13.71490868,92.43482471,5.149906659,0.091937866,,-0.131503445,11.96645218,-2.359050458,15.39233352,6,13.13912515,0,1,1,159,8889942.0,1,2,2.250705674,0.034414927000000005,,,,6.287846559,1.259030017,84.42704916,0,217.7940521,,1,-6.706882127999999,-25.0565309,-2.067999751,76.89130588,0.457746134,-10.56590643,25.42664062,-19.01168611,-6.9867899000000016,8.703717145,4.634414007,-122.5358762,-5.294516293,-1.047660295,50.0,6.075718969,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
89,-24.7156719,2,8889918.0,1,-28.58464292,-31.79774992,7.212276471,82.07301416,5.703481364,0.054922485,,0.2914531,11.557997300000002,-1.900002547,18.54839375,7,4.867475343,2,1,5,217,8891751.0,1,4,2.808047011,0.310840979,,,,5.851143329,1.118430433,84.72081179,0,211.8762567,2065.788624,1,-5.385296559,-21.3024951,-1.359926221,75.89052811,0.454349992,-10.30550607,29.36176109,-16.501379800000002,-6.8752366139999985,10.45589662,3.718736789,-123.0145912,-3.589283128,-0.966376688,50.0,5.72429319,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
107,-5.931383849,3,8889922.0,0,-25.20423515,-22.63278552,20.46876397,96.06615064,5.252549673,0.145840454,,-0.530241934,4.095990315,-1.292058148,9.967363886000001,7,19.45120941,2,0,5,199,8881887.0,1,6,2.739749024,1.023536197,,,,5.697128962000001,1.896303451,86.94813041,0,202.2683291,,2,-5.8260565789999985,-27.72371356,-0.6885279059999999,79.61764878,0.441866213,-4.074147338,25.61384763,-23.35776015,-2.515662197,5.443790227999999,2.706935793,-126.4238127,-2.497679046,-1.780961562,50.0,5.613857611,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
