,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
6,16.55197789,27.76239334,3.197356567,3054.891596,92.54857539,192.5848625,91.67253079,37.91123753,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
28,25.72197493,48.91746269,4.4412921139999995,2767.037245,93.7725517,152.2808628,93.70829314,35.28920077,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
30,5.80390532,4.202895294,1.120742798,2809.1270059999997,83.2702472,133.8668223,101.8375621,41.2802104,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
54,31.39091306,48.328951399999994,3.530491333,2850.869757,89.94464231,123.3422535,69.34765197,37.41031662,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
62,31.6569135,62.7201375,4.865726929,2283.7053300000002,97.87824834,139.9422519,97.82576994,35.75055305,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
80,53.72999379,114.6476038,5.269196167,3227.830842000001,94.68892881,84.61899313,85.47615017,35.53749173,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
98,24.51480426,44.04313383,3.90913269,2557.164695,87.43100824,120.8371047,96.35560644,44.69623341,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
125,9.68329109,10.18917391,1.428858032,2359.6062190000002,87.27420074,168.2894094,100.6051243,40.08395261,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
146,15.03520305,21.64366208,2.432555542,2339.5125559999997,88.87795802,165.43799109999995,99.64608853,43.77268069,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
177,10.46687265,11.7698663,1.604960327,2344.225832,83.5436271,148.11893730000003,102.05663220000001,43.62262241,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
190,57.09982866,131.8991924,5.7355999760000005,2752.0851789999997,89.95228893,63.25629686,87.08547056,38.98895625,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
