,Bearing,Launch Angle,Exit Speed,Hit Spin Rate,Hang Time,Position at 110Y,Position at 110X,Last Tracked Distance,Play Result
Cluster 1,-0.6815590347297984,39.25260319414142,92.42218310184346,4007.657430840913,5.47649960913384,84.77184416613635,105.36854393073236,133.70152892873742,0.21212121212121213
Cluster 2,-1.9654314011811327,15.39565239425095,96.57567502413215,1626.4194073156616,2.751645340813209,24.40819813052832,105.46976723533953,265.0643501211321,0.6698113207547169
Cluster 3,-0.46289839021857937,11.71750021629235,93.86741870412571,3080.215806628415,1.8612666812896186,13.976677996576498,93.07565844642073,173.83516627918044,0.8415300546448088
Cluster 4,2.5790080611299455,54.26048512946324,85.27305500621458,4420.604880706216,5.734954461573448,118.56995914497176,100.03071480646896,69.56533630364409,0.07344632768361582
Cluster 5,-0.4812163452153563,22.86954536994381,97.82228586855817,2098.338057447752,4.17967199660487,42.660417601591774,106.33374095949439,338.4892194644199,0.4756554307116105
Cluster 6,2.932636044016064,28.544178611506013,87.96310457819281,3595.6953765562225,4.399773009271085,52.71288217664656,105.67840787740967,299.7248071457831,0.20481927710843373
Cluster 7,6.069495958877274,45.31104055000001,71.9205159568182,4135.369693034546,4.527494379213636,70.89077943299999,93.45953671440905,103.98617897936354,0.16363636363636364
Cluster 8,-3.432976492420169,28.658310631428563,96.09059146957978,2768.2257684945375,4.679824936819328,56.12594801121846,96.6412037922269,152.06408032785714,0.7184873949579832
Cluster 9,0.6922949093821136,21.95911320691465,70.53032736260162,2467.104953051219,2.7371194954268296,26.228563951873976,104.57919645890239,192.1330588960163,0.6666666666666666
Cluster 10,-2.005274206856148,8.70156608316706,95.19893661832944,1336.6606123698375,1.3580950035382844,7.150202735090481,104.78681871389793,150.86279245691412,0.6960556844547564
