,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
539,-0.536573283,0,8894485.0,1,20.95052623,20.31118137,44.01093353,85.22343388,6.4332007189999985,0.366283569,,0.208956063,16.13445046,-2.86721687,9.303725262999999,2,42.93493877,0,0,2,35,8889973.0,1,1,3.037488069,0.17565077399999998,,,,5.562814929,1.467994248,88.92098724,0,239.9436868,2223.676573,0,-5.279448225,-25.43240126,-0.441228428,80.78525983,0.424191745,-16.39296225,28.922532300000004,-23.33353755,-9.751849582,5.25904545,6.010005658,-129.34438219999998,-1.735195808,-1.2717012840000002,50.0,5.519910051,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
543,0.06055887,2,8888760.0,1,19.22889648,18.02012472,54.64747222,89.6748998,5.567346294,0.434749146,3475.650141,-0.309899277,13.16769724,-2.776287505,10.31155269,3,48.31686619,1,0,6,100,8900677.0,1,4,1.918103684,0.416709341,,,,6.018593119,1.914512598,87.90590283,1,231.8428153,1944.624647,1,-6.945748011,-26.36010368,-2.035074614,80.27395694,0.43584973,-12.86860077,27.13487845,-22.16182418,-7.826299205,6.089136267000001,5.745782339,-127.6520939,-5.431097274,-1.683919093,50.0,5.8260352520000005,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
556,-24.27574679,0,8900667.0,1,11.42028806,14.34694484,7.949626912,84.31393555,6.137750385,0.06215271,,0.259034078,12.54640079,-2.1190544730000003,11.082361,9,7.783172658,2,1,8,370,675965.0,1,3,3.194491521,0.145068484,,,,6.009573584,1.058550129,94.57856626,0,228.47085550000003,2369.270981,2,-5.013324387,-19.90944222,-1.249913468,86.02573262,0.4006774870000001,-14.21631007,32.19615804,-19.96597363,-7.4620709189999985,6.4079582120000005,4.678912235,-137.5705031,-3.656452991,-0.90368055,50.0,5.904046642999999,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
568,-18.21057956,1,8899327.0,0,12.30829265,16.96427017,6.474605865,83.45337287,6.446117602999999,0.043057251,,-2.571167701,7.296850992,-3.963455541,13.2573272,7,6.120545705,2,1,8,312,8899818.0,1,2,1.623595384,0.06470355400000001,,,,5.444511938,3.103569022,78.92426039,0,208.7523517,1585.659983,0,-7.253540468,-31.18037918,-1.32736048,71.53053154,0.47978574,-6.9410320720000005,23.928725,-22.01962016,-5.292509644,7.742711701,7.754347567999999,-114.6046653,-3.457265465,-2.826051774,50.0,5.336369241,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
578,-25.92291052,2,8888763.0,1,19.65604313,13.70662766,5.662961652999999,78.62379191,6.465364095,0.042091675,,-2.142873889,-0.403852778,-2.066666347,7.152495302999999,3,5.258344918,0,1,1,100,900124.0,1,3,2.173263891,-0.860194433,,,,5.783560914,1.07217868,84.65390277,0,176.78415959999995,2180.700523,0,-6.876649027999999,-30.37651326,-1.173935926,78.77040097,0.440915193,-0.425848493,21.39557539,-25.6034108,-0.272652175,4.206892142,4.462637572,-123.3546301,-3.378547497,-0.926443568,50.0,5.6870101539999975,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
584,-7.086770718,0,8889937.0,0,9.747981393,11.63229639,19.11978085,100.4731413,6.199501036,0.125379028,,1.458305706,-13.20740849,3.965583961,17.71788214,5,18.53503926,1,1,4,174,8890772.0,0,1,2.673786021,0.246400337,,,,5.781635578,-2.318979641,89.03336438,0,143.34930830000005,1864.963459,0,-5.098348424,-17.46166379,-1.7857655630000002,80.49291121,0.426890641,14.134158800000002,29.64518736,-15.04337631,8.450159096,10.24163574,-8.557855603,-129.22378229999998,-4.56786717,2.0275704880000003,50.0,5.638499044,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
594,-10.80211454,0,8899821.0,0,11.06177209,16.23709392,11.19881765,65.97480819,6.114771396,0.10697937,,0.284788232,6.433869658,-0.940444824,10.2223609,1,9.450852908,1,1,5,20,8889927.0,1,2,2.062882967,0.6807048520000001,,,,5.789245266,1.014026547,83.45100064,0,212.0908462,1437.30489,1,-6.997382797,-29.92461895,-1.332952875,75.52957228,0.456034772,-5.602310727000001,27.17983834,-23.34926023,-3.814964862,6.00935204,1.8067808,-121.3673389,-3.68723147,-0.945397614,50.0,5.671699714,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
597,-12.71250892,3,8889937.0,0,8.054495881,11.32364534,12.39904636,102.8592106,6.0649703310000005,0.078081665,,-1.096516887,6.437949943,-2.3149207240000003,8.887854185,1,10.4834187,2,1,4,41,8890774.0,1,6,2.614050819,0.499647509,,,,6.105664245,2.106371372,87.14025068,1,215.8125831,2242.759145,2,-6.5021822989999984,-27.7553223,-1.27254176,79.41617911,0.435680453,-6.76277753,27.45881169,-23.75972777,-4.1866708789999985,5.209101092,4.925305004,-126.7126951,-3.666597004,-1.930566963,50.0,5.9922837860000016,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
598,-16.83792558,0,8889924.0,0,5.441902772000001,12.66476566,8.051451819,92.439034,6.14585459,0.053425903,,-0.885877272,4.298424111,-1.701079292,13.0428939,2,6.471608626,2,1,6,73,8890774.0,1,2,2.121863797,0.751714078,,,,6.410508611,1.965623323,86.69352289,0,198.1949321,2399.032325,1,-6.985660529,-23.90125377,-2.483376159,79.03124489,0.437466039,-4.553779445,27.2862963,-19.63127217,-2.8509173160000003,7.85247042,3.614234214,-126.0361975,-6.184870544,-1.838563842,50.0,6.209312711,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
599,-15.58466369,3,2211528.0,0,14.55958737,16.99801617,10.40001119,98.98428531,5.854799305,0.065232544,,0.008555422,13.18727347,-2.477088179,11.20191038,3,9.119127343999999,0,1,1,78,8889927.0,1,5,2.596028141,0.020498447,,,,5.803917817,1.22419112,89.46311025,0,229.5708026,2190.910888,1,-5.789490773,-23.82343407,-1.314592122,81.46002537,0.425954024,-13.35178667,28.61850041,-21.22669691,-7.839203048,6.427492775,5.194523805,-130.03738140000002,-3.765387091,-1.030953572,50.0,5.68339968,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
603,-2.847231293,0,8889924.0,0,13.0694217,13.16641945,35.42009893,93.92447013,7.204040643,0.253059692,,-1.451164925,2.467108634,-1.926790058,6.9992511739999985,4,31.78912796,2,1,3,173,8899825.0,1,4,2.7219689710000003,-0.07414746,,,,5.802206217,1.46551897,88.87199716,0,199.3360914,2058.187246,2,-6.052539977,-26.50826463,-0.961562152,81.47190363,0.416622417,-3.294756668,27.52044008,-24.99117562,-1.942014802,4.2337710999999985,4.298361017,-129.555547,-2.821269192,-1.355438958,50.0,5.738688075,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
613,-5.1868157880000005,3,8889937.0,0,15.87173228,15.42212387,31.54801384,86.81486251,5.859876265,0.2432049560000001,,-2.70125364,-13.59924627,-0.12995077800000002,1.4207347119999998,3,29.58996608,0,1,1,114,8882696.0,1,6,3.481413212,-0.34160749700000004,,,,5.281409067,0.912375067,73.83748091,0,96.16660096,2174.544375,2,-6.898494713,-50.26465613,2.5698205780000003,67.05734161,0.517434546,8.418796202000001,20.59298144,-32.21389928,7.306810743,-0.034587097000000004,0.6078531189999999,-107.29913229999998,3.468596947,-0.8940068000000001,50.0,5.460612459,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
