,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
1,-1.774046741,3,8889923.0,0,-0.62433201,0.190045145,33.65103236,102.6935971,5.549674913,0.222020874,,0.742815102,14.11470192,-1.891360506,4.2249508360000005,1,33.11731665,1,0,3,27,8886490.0,1,5,1.510897612,0.492579339,,,,4.965453934,1.084129105,89.42225239,1,253.2130139,,1,-6.679338969,-30.90602053,-0.94025432,82.32361432,0.426595822,-13.7899421,26.14142111,-27.87543864,-8.148385381,2.540020104,3.805335254,-130.07264890000002,-3.208802303,-0.92998193,50.0,4.863850182,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
4,-24.69485069,0,8889924.0,0,-4.367928472,-0.334214988,4.359957895,92.73697077,5.575302757,0.025021973,,0.244210826,6.5192071889999985,-0.979053166,10.10524537,3,4.359957895,0,0,1,99,8886490.0,1,1,1.85614915,0.373695257,,,,5.413170689,0.744826379,89.54946733,0,212.7418153,2144.524637,0,-6.262454772000001,-25.18447839,-1.560966441,81.63714972,0.427558601,-6.433360611,28.65666249,-22.17995023,-3.843251304,5.970414804,2.001054107,-130.1920628,-4.413091007,-0.664901455,50.0,5.2626974,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
7,0.380507863,0,8881728.0,0,8.888650545,8.893017389,42.62088796,67.16197564,6.495269935,0.443517456,937.3626497,-2.674514973,3.740166599,-3.387553767,12.47295856,5,41.05307969,2,1,5,178,8889947.0,1,2,2.786385589,-0.181010841,,,,5.265966845,2.620082719,91.48444478,0,196.653077,2182.352596,1,-4.7285514410000005,-20.35030333,-0.852345937,82.963624,0.412346571,-5.502810968,31.02770159,-19.48537575,-3.200922772,7.3808571610000016,7.7625175,-132.9971561,-2.5804951000000003,-2.384749224,50.0,5.197325017,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
11,-16.16926012,0,8889949.0,1,-4.240452758,-5.80944616,10.23315826,67.02734620000001,7.396566127000001,0.069019775,,-1.7353327369999998,-5.709387047000001,-0.631840836,1.338320945,7,10.23315826,1,1,2,253,8881729.0,1,1,1.771288555,0.024861192,,,,5.36016514,1.070640052,80.7329849,0,103.5508027,1994.121276,0,-7.843494285,-38.79776846,-0.394311363,74.57681955,0.455972915,4.332695475,22.13296354,-30.94888708,3.109706414,0.879335399,1.419519631,-117.8170195,-1.6278016730000002,-1.03484891,50.0,5.328084782,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
13,-5.031635794,2,8889923.0,0,-6.277346419,-4.55844615,25.08837353,103.3824143,6.247022808,0.161987915,,-1.756775395,10.13205231,-3.667299065,8.063430496,1,23.72861059,1,1,3,34,1110016.0,1,3,2.359181251,0.8172747690000001,,,,5.994085457000001,3.359352798,90.32293505,0,231.376775,2113.545049,0,-6.432006283,-25.55314938,-1.628793544,83.113058,0.417299901,-11.39815793,26.53735682,-23.70047978,-6.704546489,4.984264664,8.102032872999999,-131.2923544,-4.530456765,-3.091888946,50.0,5.860193889,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
20,1.516220589,0,1110021.0,0,-5.673126504,-5.210182547,107.3311767,106.9375006,6.3347916139999985,0.762660522,1935.313126,-0.334756432,3.5595634830000003,-1.009435593,11.21269222,5,102.0822155,2,1,6,172,8889914.0,1,1,2.11355157,0.595383998,,,,5.27849883,1.22815187,91.51753783,0,197.5674382,2230.074846,0,-5.537603747,-21.37473276,-1.502459749,83.98796203,0.410862534,-4.009875294,28.11981276,-20.36592531,-2.26387265,6.666563246,2.238983254,-133.2831056,-4.1535715810000005,-1.156486157,50.0,5.15903164,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
22,-8.871134005,2,8880671.0,1,-3.47770817,-5.115857027,14.16058048,98.21327687,6.953911711,0.093320923,,-1.573368963,12.18366646,-3.912668746,12.70309891,6,12.57334753,0,0,1,191,8889953.0,1,3,2.315379721,-0.281180072,,,,5.418356417,2.268842503,87.97256454,0,223.7306697,,0,-5.619872058,-22.10144092,-1.382713359,80.08336714,0.424609265,-13.17020142,27.88735253,-19.75633079,-8.175390827000001,7.708287267,8.437785274,-127.9177031,-3.659334163,-2.03068511,50.0,5.324792221,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
25,-12.76345128,0,999804.0,1,-4.133185833,-2.604728476,8.759119757,90.39292525,6.249100502,0.059268188,,-1.471458791,5.61471598,-2.534645511,15.37039965,8,8.759119757,2,0,5,273,8889947.0,1,1,1.640655604,0.26335323,,,,5.569298082,2.134210678,92.29885881,1,200.030472,2188.954934,0,-5.922051476,-16.97915122,-2.721326603,84.36772511,0.409360228,-6.887120085,29.4321089,-15.48670339,-3.828363149,9.276042306,5.762443037000001,-134.1575978,-6.916092567000001,-1.948870885,50.0,5.358688119,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
26,-27.81938224,0,8889937.0,0,-4.144963105,-7.925060293,4.959180763,71.08027777,5.967143042000001,0.05295166,,-0.980920649,-6.746441052000001,0.294442892,9.852865844,8,4.959180763,2,1,3,284,1110018.0,0,2,2.793775492,-0.459187317,,,,5.804453261,-0.16994432,88.50907515,0,145.69029730000003,2035.208946,1,-5.778031051,-25.72390782,-0.93516753,80.64326679999998,0.42929398,6.246455775,28.26891126,-22.80211056,3.812210693,5.719691861,-0.448091478,-128.803531,-2.917859683,0.150403017,50.0,5.716192307000001,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
29,-3.631919226,1,1110014.0,1,-3.009066078,-2.286961147,31.42959171,78.5572252,5.214873708,0.27192810100000003,,0.107764302,12.76023739,-2.2861326180000003,16.35475356,3,31.21263282,0,0,1,50,8889942.0,1,3,2.854679647,0.390546555,,,,6.385372452,1.477669119,87.8613849,0,217.9017991,,1,-5.847958834,-21.32917308,-1.862710435,78.9205859,0.441824295,-12.11841967,30.65734488,-17.21274281,-7.598341292000001,9.380852485,4.637612872,-127.42779070000002,-4.898889753,-1.275998171,50.0,6.197889186,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
