,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayResult,cluster #
5939,203,7,3,647217.0,1,9999668.0,0,5,2,0,2,0,1,77.80456784,0.662712787,-0.631470613,2641.244371,60.01798985,6.24131069,2.605317334,5.621569154,-56.14493328,-9.13117336,-15.75051235,2.180996494,0.70353717,71.10983879999998,-9.812965372,-3.59827974,0.493496425,90.4454158,8.504953315,-5.790223125,1052.320411,109.5415664,6.731500982999999,-10.03106107,153.2359496,150.79222040000005,-5.029142546,1.4059503169999998,8.240985641,-5.106318082,-2.541611035,50.0,6.262312118,1.70938971,-113.0952156,-0.341779605,10.52135052,23.36970269,-38.693337,1,0
5941,221,3,3,1000018219.0,0,1000024342.0,1,6,1,2,0,0,0,86.91242997,-1.534357908,1.535559193,2286.270927,155.59793369999997,6.405417595,-0.918622153,4.910814783,-16.34271586,22.64598185,-10.2902882,3.5919415860000004,-0.323947816,77.77497354,-4.579486117,-0.387094018,0.449408087,94.31781497,6.031600506,-27.86072016,2233.069653,,,,106.7834912,104.2346421,-29.76233054,0.885186157,5.905262279,12.37407663,0.7770572609999999,50.0,6.242535573,-3.004126639,-126.0377098,-3.972129951,9.307518223999999,30.43313791,-12.67077533,1,0
5944,262,4,1,9999676.0,1,8882104.0,1,7,1,0,0,2,0,90.77260666,-1.548601474,-3.402616403,1912.036484,213.16441040000004,6.345987769,3.730307777,6.152593916,-20.71348387,13.25613967,8.683691424,3.186369664,1.306865285,81.89607366,-5.477911176,-1.752000278,0.419485434,55.17405489,20.39754686,4.400782308,3145.295260000001,108.78035990000002,9.646080406,16.33482662,134.1333805,133.164275,9.80437483,2.035202026,-5.834695172000001,7.738865854,-3.476270941,50.0,6.217665482999999,7.566509524,-131.8051741,-4.214135001,-10.11548052,31.80115166,-18.75734992,0,0
5945,264,1,2,1000001154.0,1,9999672.0,1,7,0,1,0,0,0,84.00955274,1.897748739,-4.719910501,1998.508168,283.6858515,4.045759975,3.059709782,5.650106868,-44.57677139,-3.896922078,15.84592099,2.107510022,-0.031491527000000005,75.56566786,-6.488897726,-1.73532489,0.459051262,95.9620046,13.23812939,28.7530444,4398.745111,92.44006743,18.73416595,59.62120098,253.2745548,253.2745548,38.73245092,2.359088135,-10.05341585,-2.714683143,-2.669162537,50.0,4.179225491,9.545242972999999,-121.6341682,2.644522632,-14.80964381,27.57792121,-36.17303666,1,0
5954,319,3,2,1000001154.0,1,9999672.0,1,9,2,0,1,1,0,74.66106775,2.750290961,-1.821270467,2254.443408,82.27467937,4.13245731,3.07791411,5.381359809,-52.46669754,-1.336575163,-9.49834643,2.341294412,0.578780532,68.39597575,-6.994142965,-3.590731085,0.514647579,98.34190094,10.42201867,4.305780303,2058.834667,109.1265628,10.63940408,13.8321103,187.615049,156.27305719999995,9.845041021,1.594850464,4.515174067,-1.490595101,-2.908550197,50.0,4.3419771780000005,3.728301485,-108.4125798,3.658369548,5.362184214,19.33236387,-33.94426725,0,0
5960,32,3,2,9999664.0,0,1000024339.0,0,2,2,1,0,0,0,85.36358602,-0.918631885,2.8278091130000003,1921.870625,125.5460989,6.2437765270000005,-1.516737003,5.921395642,-28.34768443,9.943948099,-13.96759026,3.0280058480000003,-0.05479154,77.98411459,-6.24078539,0.196106798,0.445372564,80.65939719,11.28159517,-18.9537186,3444.6424460000007,101.7427557,11.51480012,-41.81377094,172.06533869999996,171.21673149999995,-24.63653132,1.79565979,8.354175241,5.634896886,1.298512292,50.0,6.154183592000001,-5.698315124,-124.09608459999998,-2.867733062,12.99300975,25.44651616,-23.41025464,1,0
5963,53,2,5,641978.0,1,1000018217.0,0,2,1,2,2,0,0,81.91571478,-0.334741334,-3.719645583,1607.503117,260.5539652,5.953959917000001,3.1877456539999995,6.71906076,-38.16515322,2.463841914,15.03861493,2.466952111,1.036696036,74.57217747,-7.618294175,-0.836946848,0.458764241,98.73057713,11.94727975,-8.15697095,1999.556001,107.8699536,16.90778424,-21.541016,233.9707455,232.82488680000003,-14.10133809,2.063228149,-9.522855595,1.475651637,-2.94791098,50.0,5.916695527999999,7.365741466,-119.0952886,-1.653550312,-13.53764016,25.0506831,-30.07627015,1,0
5964,60,1,5,9999664.0,0,8882104.0,1,3,0,1,2,1,0,76.15777557,-0.8630696,1.67352458,2138.771911,252.5338172,6.323970611,-1.663786279,5.7816051,-44.57438075,3.707483576,11.92715459,1.806131831,0.88744674,70.27528417,-9.147042978,3.911183318,0.500107692,59.78108353,36.73893783,-14.06685012,3877.264315,107.7275602,44.17106501,-22.24339681,187.1360759,180.2173345,-10.08217034,3.5089691160000003,-5.934330584,2.238688455,1.5187800059999998,50.0,6.226127663,-3.573840722,-110.7796419,-2.9297901530000003,-7.357081738,20.22569484,-29.39863628,0,0
5967,90,1,3,9999664.0,0,1000024342.0,1,4,0,0,2,1,0,81.2070877,-0.416298991,2.056313399,2177.721673,195.5110474,6.182486355,-1.52782541,5.747139878,-39.62917778,3.008454329,0.84606891,2.492269779,0.457704152,74.35139709,-7.820758507000001,2.215339251,0.469967751,55.60363631,15.27233873,-2.721031387,1899.648395,,,,107.04225990000002,105.6599916,0.851815352,1.523171997,0.14758934,1.7380996519999998,1.356666145,50.0,6.123900305,-4.26522455,-118.0795594,-2.057354689,0.207311118,23.55527022,-29.7326298,0,0
5968,93,2,3,9999664.0,0,8882111.0,1,4,1,2,0,0,0,85.04539695,-1.742633655,2.188801497,1951.617593,127.3955486,6.124557229,-1.550593899,5.915856024,-30.18044615,8.43488178,-11.08163925,1.990771449,-0.441987102,77.80704997,-7.397162906,0.099108599,0.447251064,101.2854754,7.067863924,-29.98838353,2134.358908,92.98616965,3.787528068,-58.76630507,137.1006467,135.59917140000002,-33.40478358,1.064517212,6.620073049,5.061346537,1.381688604,50.0,5.967839549,-4.384616188,-123.6417363,-4.693184807,10.20884806,25.52815271,-24.36892051,1,0
5974,131,4,4,641978.0,1,1000018217.0,0,4,2,2,1,0,0,91.60847195,-3.144437323,-3.77067669,2399.132509,229.39441,6.250914237000001,2.784752187,6.39996512,-18.82210882,13.89451734,16.24369336,1.781922471,0.66625695,83.81379871,-6.699621374,-0.6896362659999999,0.411676213,96.39006705,11.64271157,-26.0320953,2905.425721,95.12863715,16.35433123,-55.23112192,237.4002009,236.4919786,-34.72137463,2.235180054,-9.978115698,8.513967573,-2.522085524,50.0,6.016454695,8.273741493,-132.9865429,-7.890362614,-17.86142396,28.63353036,-16.93353732,1,0
5984,190,2,3,641978.0,1,663837.0,1,6,1,2,0,0,0,89.81670486,-2.295964447,-4.721392816,2448.587614,237.8492252,6.242910932000001,2.88361273,6.368645028,-21.90180355,12.53661743,19.99730973,2.297047821,0.196313369,81.27668882,-6.4577071,-0.914592481,0.422370068,106.5005509,7.222882994,-23.75704985,2007.885803,98.27775842,7.8235282910000015,-49.41101995,179.0738603,176.38820880000003,-28.93250028,1.405420532,-12.46866515,7.611624981,-2.551743471,50.0,6.0664898260000015,10.16488535,-130.2250488,-5.885723278,-21.17451849,30.17353553,-19.24784579,1,0
5994,236,6,5,8893140.0,1,9999672.0,1,7,1,1,2,0,1,81.3802828,1.004555724,-2.404552443,2364.76861,40.59429106,5.990346083,2.748542362,5.481626918,-46.70790034,-2.822637191,-2.383446197,3.038731701,0.299083608,72.76676686,-7.794292007999999,-2.855612353,0.476794099,90.57306921,18.17245061,-18.39826473,892.2571985,104.181695,24.94494345,-35.30033565,244.7159745,244.4938259,-19.01392501,2.527451782,0.39964973,-1.877565489,-2.53625266,50.0,6.047778359,5.03003879,-118.0253194,0.6227942089999999,0.547246337,28.58052492,-34.74502699,1,0
6000,18,4,3,8894855.0,0,8881999.0,1,1,1,0,2,0,1,84.09920334,-2.0785222180000003,1.90710409,1868.241857,135.28880519999998,6.827084492000001,-2.384822114,4.784705626,-26.50074856,15.16924063,-15.05586821,2.646942289,-1.831471105,75.94217978,-6.972405133,-0.891459772,0.464604286,65.09742888,20.77673582,16.06854171,2315.6014600000008,102.442498,18.28641113,40.068867,168.81640180000005,168.1897071,23.35914635,2.260443726,8.447764888,8.562129591,2.207159995,50.0,6.59730253,-3.517764959,-121.926291,-5.381670378,12.5315705,27.23023213,-19.47282734,1,0
6005,51,2,1,1000001147.0,1,1000018217.0,0,2,1,0,0,1,0,82.74587633,-1.148172314,-1.62574171,2274.702173,216.6746676,6.487595957000001,1.312548204,6.245362065,-27.48560588,12.76948946,9.537490047,3.137722568,0.607686721,75.5502995,-6.341823878,0.184844179,0.456648408,84.10305652,11.49321994,32.461814600000004,2990.75803,89.97882708,8.19915788,63.27480331,148.9917802,114.9123725,36.7572938,1.398257446,-5.690381309,7.31856911,-1.196519238,50.0,6.3886806589999985,3.14963725,-120.427173,-3.1879156010000003,-8.316442126,24.43663098,-21.47802431,0,0
6006,59,1,3,8894855.0,0,1000024336.0,0,3,0,1,1,1,0,80.40499785,-2.018318083,2.8380328230000003,1921.042955,165.12324619999995,6.920923894,-2.070423182,4.718140844,-26.27385145,19.13024302,-5.093194285,2.813211125,0.200214194,73.16653184,-6.843333678,1.897897534,0.484974638,97.45959501,5.812053387000001,35.40502682,3433.301868,,,,105.6412501,103.2739995,37.50161956,0.8184967040000001,3.477566724,10.50864231,1.788198372,50.0,6.69424155,-5.600529762000001,-116.5675401,-5.031937847,4.756184357,23.13869317,-17.80163126,0,0
6012,87,4,4,1000001147.0,1,8894845.0,0,3,2,0,2,1,0,82.18449024,-0.07282127,-1.25550976,2234.449192,28.49499075,6.39707626,1.4023603569999998,5.525602002,-46.25817641,-4.112789775,-2.211086366,2.474141685,0.04431932,75.03449106,-8.695867297000001,-1.670806903,0.467247019,91.16774331,7.407986448,-4.0098278610000015,1375.143425,109.4216821,0.900212583,-11.26466521,114.6225899,111.2528864,-5.964572617000001,0.967107544,0.794062871,-2.172412584,-1.291892261,50.0,6.3604059039999985,2.688185134,-119.4640037,-1.61587723,1.135933336,25.18782746,-35.28175698,0,0
