,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
16,9.082239143999999,12.24382114,1.85291748,2556.62029,104.6074393,214.21713509999998,99.85726138,-21.14506564,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
21,11.49593727,17.31374718,2.290113525,1332.0248390000004,108.12048610000001,248.2334727,95.35686319,-11.72432717,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
22,19.91189462,38.46456328,4.0588763430000006,1802.9480079999998,106.6344764,357.5506712,99.54049739,-12.89107967,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
40,22.51594688,39.70374936,3.735388794,2926.6760289999997,108.70621609999999,299.84770499999996,87.08580262,-12.58420265,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
42,5.250086327,1.9619034819999999,0.8958691409999999,1068.019536,105.35689950000001,122.55447360000001,104.7291905,-16.85654773,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
52,12.77044132,14.25247773,2.048550415,1313.819451,106.5772104,185.9918814,76.89105816,-14.96157494,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
55,11.55722262,18.53086763,2.2233312990000003,2057.200903,106.2183107,240.1770262,98.79937125,-19.69647252,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
57,19.19839553,35.66280658,3.656185303,1258.4856949999999,107.0306486,329.1488584,93.15643731,-14.64942229,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
67,49.22539617,95.31127695,5.102510376000001,2415.993778,106.5341659,134.72269939999998,76.47658221,-18.12072279,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
72,7.9472916,4.509919825,1.254175415,517.8649845,104.9285729,138.1345779,89.1686613,-17.53965011,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
74,14.34782182,24.56686881,2.736550293,1123.8889390000004,106.81499380000001,299.5074595000001,105.42179209999999,-16.27989504,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
75,33.15647939,61.82704508,4.578225708,2123.836625,106.4399358,316.2626646,86.87392446,-20.00358357,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
84,13.76245531,21.79787885,2.746147461,1236.336392,107.1893001,283.8577328,97.15751865,-14.31726565,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
88,44.23966214,95.59689915,5.524755249,2396.351984,106.29259420000001,184.5529501,89.25375291,-19.06579765,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
89,22.14096872,43.38258647,4.398173218,1539.439545,105.57047779999999,362.6158236,95.89580486,-14.80041616,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
96,12.4840474,18.29221023,2.33395813,2586.732546,107.1046348,249.04569590000003,97.67932616,-17.627589999999994,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
102,23.36908699,35.3838114,3.3366424560000003,800.0119602999997,105.25125190000001,253.5273815,76.64966517,-17.23804287,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
103,23.16826684,44.87002254,4.474057007,1086.873565,107.30353840000001,320.6111446999999,94.30947667,-12.7303789,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
104,17.10133011,17.09453611,2.046655884,823.1916682,105.47527749999999,179.9333017,75.88497828,-18.05504834,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
106,20.45094667,29.33379212,3.070645752,1107.998257,108.79941240000001,234.3060762,75.36235898,-11.62555796,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
127,32.29496119,58.36168534,4.273070679,1846.5221239999998,108.7319754,258.00299680000006,78.7232166,-13.19032201,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
130,24.61666389,44.040232,4.262648315,2309.183361,105.15387630000001,318.6175616000001,93.98499255,-18.4073691,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
144,22.51776034,40.99066899,4.031480103,1139.9283050000001,105.68823959999999,303.8564934,93.20568852,-14.29855457,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
