,Angle,Balls,BatterId,BatterSide,Bearing,Direction,Distance,ExitSpeed,Extension,HangTime,HitSpinRate,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,LastTrackedDistance,Outs,OutsOnPlay,PAofInning,PitchNo,PitcherId,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpinAxis,SpinRate,Strikes,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
0,-5.922391283,1,8889924.0,0,-19.20177278,-20.17872184,21.66660557,97.49085055,5.5546332000000005,0.14956481900000002,,0.126277679,12.21149232,-2.152218382,8.150857001,1,21.44020473,0,0,1,19,8886490.0,1,3,2.480116274,0.084186817,,,,5.083775543,1.07817949,91.12500897,0,236.1748216,2200.468438,1,-5.273918622,-25.66884412,-0.49693188,83.68631218,0.418558727,-12.63462961,27.07070367,-24.18485038,-7.167703147999999,4.532321302,4.549448607,-132.5447327,-2.05788163,-0.900392903,50.0,5.024001356,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
9,-3.470251552,1,8886462.0,0,-12.32318024,-11.48700118,18.63863695,98.11801658,6.1621798960000005,0.128720093,,-1.62846192,9.202911611000001,-3.3794250580000003,13.0562279,7,15.61524619,1,1,3,245,8889947.0,1,3,1.3289546,0.425012111,,,,5.489052892,2.7830593560000003,90.53642229,1,215.1123963,2045.396742,1,-6.596875657999999,-21.15957554,-2.588708768,81.69585838,0.421002708,-10.53905832,31.92704562,-18.4509147,-6.153890212,8.013112417,7.472993907,-131.3708263,-6.604118474,-2.531654752,50.0,5.281886361000001,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
14,-14.52015367,2,8889935.0,1,-8.043706852,-20.66204323,7.391796517,80.90833721,6.667011775,0.047269897000000005,,-4.749941924,-1.520444619,-4.462129885,2.827298309,1,6.7788788,2,0,4,39,1110016.0,1,5,1.712316895,-1.044625846,,,,5.952532586,3.172383388,80.38860855,1,152.058771,2013.553741,2,-8.422913066,-39.00516658,-1.078541829,74.46748321,0.465509176,-0.482706305,21.17088404,-29.59974434,-0.35433128700000005,1.889671874,9.155484834,-116.8327978,-3.187223496,-2.872735117,50.0,5.86413432,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
15,-2.392766644,1,8889949.0,1,-18.95670381,-20.55660625,45.20894762,102.6620394,6.258702867999999,0.298579102,,-2.566511723,12.32935214,-4.883807746,8.787924121,2,45.20894762,0,0,1,72,1110016.0,1,3,2.85232459,-0.278345762,,,,5.830170132,3.207739253,90.72965627,0,234.4237059,1966.161841,1,-5.618027561,-24.51421223,-1.010369306,83.5258703,0.415343641,-14.12785746,25.93644261,-23.22472511,-8.220733256,5.20744218,10.87391057,-131.7342341,-3.091655144,-2.8515700180000003,50.0,5.7429270610000005,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
17,-14.75305496,2,8886496.0,1,-16.01305107,-16.60905722,10.69956133,96.01784049,6.368039248,0.06083313,,0.009346738,10.82118991,-2.040892248,10.52323173,3,7.441361907,0,1,1,84,8889914.0,1,3,2.50747097,0.245648022,,,,5.125596155,1.222369382,90.79888512,0,225.7153712,,0,-5.060304515,-22.51036959,-0.806209675,83.36315005,0.413665669,-11.51173496,27.27960097,-21.54051657,-6.632136369,6.1261864039999985,4.3836577939999986,-132.22454040000002,-2.544586783,-1.080277251,50.0,5.056800228999999,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
18,1.36397255,1,8889935.0,1,-17.10725364,-18.24298793,65.81498307,100.5138838,6.110789323,0.463267212,2541.892506,-2.783477157,10.85771535,-4.826070896,11.0335705,3,63.45669333,0,1,1,104,1110016.0,1,4,1.929663534,-0.392679738,,,,6.054839287999999,3.174915963,89.49946789,0,224.4551717,2098.460758,2,-6.761626238,-23.6673801,-2.31912565,81.92849995,0.423976909,-12.35878756,27.143293300000003,-20.84076222,-7.327896012999999,6.719845564,10.61811436,-129.77883400000002,-6.013905387,-2.810144567,50.0,5.864042032,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
19,-9.059229005,0,8880671.0,1,-14.64715674,-15.89367806,15.31870774,102.8242754,6.291267325,0.091921997,,-0.542817575,6.441797537999999,-1.760598764,10.20015713,4,15.01708029,0,2,2,128,8889914.0,1,1,2.332797363,0.150529512,,,,5.192143007,1.236395653,90.45980959,0,212.1947224,,0,-5.369428939,-23.12562252,-1.011177348,83.22495431,0.415491054,-7.038044509,26.6405133,-21.85597381,-4.046348859,5.932120764,3.851516899,-131.7429963,-3.037155994,-1.110215192,50.0,5.106529725,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
24,2.23600589,1,8889935.0,1,-19.49795331,-21.34530989,60.15035500000001,74.47041689,6.096385917,0.553318481,2782.1567440000013,-1.819930453,-13.10513027,0.675540864,13.32822924,7,55.09768652,2,1,3,258,1110018.0,0,2,2.240209167,-0.6934016740000001,,,,5.952726871,-0.226060691,75.59749319,0,135.5823497,1360.8125730000004,0,-7.543885437999999,-35.64396629999999,-0.802450255,68.49595113,0.503670257,8.874814242000001,22.46862869,-23.10286352,7.43820784,7.602791207,-0.953246967,-109.961835,-2.474014141,0.180996058,50.0,5.872444458,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
36,-1.5306205430000002,0,1110024.0,1,-12.24010867,-12.40727119,39.48829651,99.9472663,5.438014356,0.269647827,,-0.096354951,8.793768832,-1.737716497,12.98674579,4,39.48829651,1,2,6,90,8889942.0,1,2,2.167932786,0.31779517,,,,6.4356936560000015,1.212447031,86.05091428,0,214.0296528,2070.555451,1,-6.996391292,-25.31197669,-2.303055022,78.87740773,0.445413794,-8.151892797,25.19631326,-20.25032321,-5.157765051,7.544232414,3.495446495,-125.03234609999998,-5.888016162,-1.064913519,50.0,6.214788026,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
38,-9.43830953,1,8889935.0,1,-17.01104629,-15.24069364,14.20576803,78.26873954,6.374676381,0.115097656,,0.614888338,14.3279107,-2.117969394,8.943490893,4,14.20576803,1,1,3,97,8886499.0,1,3,2.247327945,0.808467378,,,,5.227546015,1.563723732,89.16470533,0,237.9338823,1987.488213,1,-5.796686191,-25.71621994,-0.909381434,80.94986593,0.4237249,-14.39629201,29.63368624,-23.40125268,-8.591303723,5.235358786,4.376443325,-129.7304362,-2.816782642,-1.417874834,50.0,5.1500623910000005,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
